inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
KLH063a,KLH063a_0587,i,1395,0.06130489724102972,316.92569510275894,316.98699999999997,h,t,0,hiti,483,316.88700000000006,317.10723307826055,ā,kona,,
KLH063a,KLH063a_0588,i,1397,0.03403837040656299,317.073194707854,317.10723307826055,t,k,0,hiti,483,316.88700000000006,317.10723307826055,ā,kona,,
KLH063a,KLH063a_0589,o,1399,0.04332487225417481,317.2036751277458,317.24699999999996,k,n,0,kona,484,317.10723307826055,317.34144948415326,hiti,manawa,,
KLH063a,KLH063a_0590,a,1401,0.04444948415323324,317.297,317.34144948415326,n,m,0,kona,484,317.10723307826055,317.34144948415326,hiti,manawa,,
KLH063a,KLH063a_0591,a,1403,0.03809055735973743,317.4319369003898,317.47002745774955,m,n,0,manawa,485,317.34144948415326,317.81203203659635,kona,a,,
KLH063a,KLH063a_0592,a,1405,0.05429930517232151,317.55269207159404,317.60699137676636,n,w,0,manawa,485,317.34144948415326,317.81203203659635,kona,a,,
KLH063a,KLH063a_0593,a,1407,0.0867168007976602,317.7253152357987,317.81203203659635,w,a,0,manawa,485,317.34144948415326,317.81203203659635,kona,a,,
KLH063a,KLH063a_0594,a,1408,0.06969761559435028,317.81203203659635,317.8817296521907,a,h,0,a,486,317.81203203659635,317.8817296521907,manawa,haʻalele,,
KLH063a,KLH063a_0595,a,1410,0.06302587812984939,317.99699999999996,318.0600258781298,h,ʻ,0,haʻalele,487,317.8817296521907,318.31531365617894,a,ʻana,,
KLH063a,KLH063a_0596,a,1412,0.05999999999994543,318.067,318.12699999999995,ʻ,l,0,haʻalele,487,317.8817296521907,318.31531365617894,a,ʻana,,
KLH063a,KLH063a_0597,e,1414,0.07594419935355745,318.1710558006464,318.24699999999996,l,l,0,haʻalele,487,317.8817296521907,318.31531365617894,a,ʻana,,
KLH063a,KLH063a_0598,e,1416,0.038313656178900146,318.27700000000004,318.31531365617894,l,ʻ,0,haʻalele,487,317.8817296521907,318.31531365617894,a,ʻana,,
KLH063a,KLH063a_0599,a,1418,0.07224966299247626,318.36475033700754,318.437,ʻ,n,0,ʻana,488,318.31531365617894,318.587,haʻalele,iaʻu,,
KLH063a,KLH063a_0600,a,1420,0.040182821614564546,318.5468171783854,318.587,n,i,0,ʻana,488,318.31531365617894,318.587,haʻalele,iaʻu,,
KLH063a,KLH063a_0601,i,1421,0.13000903041819356,318.587,318.7170090304182,a,a,0,iaʻu,489,318.587,318.8661295102945,ʻana,-,,
KLH063a,KLH063a_0602,a,1422,0.0599723669067771,318.7170090304182,318.77698139732496,i,ʻ,0,iaʻu,489,318.587,318.8661295102945,ʻana,-,,
KLH063a,KLH063a_0603,u,1424,0.07131849037563143,318.7948110199189,318.8661295102945,ʻ,sp,0,iaʻu,489,318.587,318.8661295102945,ʻana,-,,
KLH063a,KLH063a_0604,a,1426,0.10805010481141153,319.2559498951886,319.36400000000003,sp,h,0,a,491,319.2559498951886,319.36400000000003,-,hoʻi,,
KLH063a,KLH063a_0605,o,1428,0.0683228619408851,319.43399999999997,319.50232286194085,h,ʻ,0,hoʻi,492,319.36400000000003,319.77840044063214,a,au,,
KLH063a,KLH063a_0606,i,1430,0.22440044063216646,319.554,319.77840044063214,ʻ,au,0,hoʻi,492,319.36400000000003,319.77840044063214,a,au,,
KLH063a,KLH063a_0607,au,1431,0.18883191201734917,319.77840044063214,319.9672323526495,i,m,0,au,493,319.77840044063214,319.9672323526495,hoʻi,me,,
KLH063a,KLH063a_0608,e,1433,0.08023330167259246,320.1017649594944,320.181998261167,m,k,0,me,494,319.9672323526495,320.181998261167,au,kaʻu,,
KLH063a,KLH063a_0609,a,1435,0.0534888677817662,320.2646628750115,320.31815174279325,k,ʻ,0,kaʻu,495,320.181998261167,320.4048685435909,me,poʻe,,
KLH063a,KLH063a_0610,u,1437,0.054299305172378354,320.35056923841853,320.4048685435909,ʻ,p,0,kaʻu,495,320.181998261167,320.4048685435909,me,poʻe,,
KLH063a,KLH063a_0611,o,1439,0.03809055735968059,320.5199506530607,320.55804121042036,p,ʻ,0,poʻe,496,320.4048685435909,320.60504657907705,kaʻu,mākua,,
KLH063a,KLH063a_0612,e,1441,0.030796620844057543,320.574249958233,320.60504657907705,ʻ,m,0,poʻe,496,320.4048685435909,320.60504657907705,kaʻu,mākua,,
KLH063a,KLH063a_0613,ā,1443,0.06455341973622808,320.6982468789998,320.762800298736,m,k,0,mākua,497,320.60504657907705,321.10966750192665,poʻe,-,,
KLH063a,KLH063a_0614,u,1445,0.10292554861024428,320.9192147151281,321.0221402637383,k,a,0,mākua,497,320.60504657907705,321.10966750192665,poʻe,-,,
KLH063a,KLH063a_0615,a,1446,0.08752723818832919,321.0221402637383,321.10966750192665,u,sp,0,mākua,497,320.60504657907705,321.10966750192665,poʻe,-,,
KLH063a,KLH063a_0616,a,1448,0.3411941414561852,322.14092614694584,322.48212028840203,sp,ʻ,0,a,499,322.14092614694584,322.48212028840203,-,ʻo,,
KLH063a,KLH063a_0617,o,1450,0.10747603251934379,322.5445239674807,322.65200000000004,ʻ,i,0,ʻo,500,322.48212028840203,322.65200000000004,a,ia,,
KLH063a,KLH063a_0618,i,1451,0.13403430988904574,322.65200000000004,322.7860343098891,o,a,0,ia,501,322.65200000000004,322.87275111068675,ʻo,kēia,,
KLH063a,KLH063a_0619,a,1452,0.0867168007976602,322.7860343098891,322.87275111068675,i,k,0,ia,501,322.65200000000004,322.87275111068675,ʻo,kēia,,
KLH063a,KLH063a_0620,ēi,1454,0.21418059639006515,323.0178194036099,323.23199999999997,k,a,0,kēia,502,322.87275111068675,323.312,ia,a,,
KLH063a,KLH063a_0621,a,1455,0.08000000000004093,323.23199999999997,323.312,ēi,a,0,kēia,502,322.87275111068675,323.312,ia,a,,
KLH063a,KLH063a_0622,a,1456,0.08725384308337425,323.312,323.3992538430834,a,h,0,a,503,323.312,323.3992538430834,kēia,hiti,,
KLH063a,--,i,1458,0.04052186953163073,323.4373444004431,323.47786626997475,h,t,1,hiti,504,323.3992538430834,323.66200000000003,a,-,,devoiced
KLH063a,--,i,1460,0.052842872742871805,323.60915712725716,323.66200000000003,t,sp,1,hiti,504,323.3992538430834,323.66200000000003,a,-,,devoiced
KLH063a,KLH063a_0623,o,1463,0.03728011996906844,324.52841730415093,324.56569742412,k,l,0,ko,506,324.42499999999995,324.56569742412,-,lākou,,
KLH063a,KLH063a_0624,ā,1465,0.09887336165718352,324.63458460232374,324.7334579639809,l,k,0,lākou,507,324.56569742412,324.985,ko,haʻalele,,
KLH063a,KLH063a_0625,ou,1467,0.12000000000000455,324.865,324.985,k,h,0,lākou,507,324.56569742412,324.985,ko,haʻalele,,
KLH063a,KLH063a_0626,a,1469,0.057715029703558685,325.115,325.17271502970357,h,ʻ,0,haʻalele,508,324.985,325.46824310577006,lākou,ʻana,,
KLH063a,KLH063a_0627,a,1471,0.0700980720337725,325.18500000000006,325.25509807203383,ʻ,l,0,haʻalele,508,324.985,325.46824310577006,lākou,ʻana,,
KLH063a,KLH063a_0628,e,1473,0.06626537020667911,325.29499999999996,325.36126537020664,l,l,0,haʻalele,508,324.985,325.46824310577006,lākou,ʻana,,
KLH063a,KLH063a_0629,e,1475,0.05324310577009328,325.41499999999996,325.46824310577006,l,ʻ,0,haʻalele,508,324.985,325.46824310577006,lākou,ʻana,,
KLH063a,KLH063a_0630,a,1477,0.05219665429177667,325.54280334570825,325.595,ʻ,n,0,ʻana,509,325.46824310577006,325.77687928753295,haʻalele,-,,
KLH063a,KLH063a_0631,a,1479,0.08311076442043941,325.6937685231125,325.77687928753295,n,-,0,ʻana,509,325.46824310577006,325.77687928753295,haʻalele,-,,
KLH063a,--,a,1482,0.8399999999999181,326.78100000000006,327.621,sil,sp,1,a,511,326.78100000000006,327.621,-,-,,disfl
KLH063a,--,a,1485,0.11406479939347491,327.7719177620831,327.88598256147657,m,l,1,malia,513,327.69762555721496,328.15099999999995,-,au,,not sure here
KLH063a,--,i,1487,0.06678794175013536,327.9624355682211,328.02922350997125,l,a,1,malia,513,327.69762555721496,328.15099999999995,-,au,,not sure here
KLH063a,--,a,1488,0.12177649002870794,328.02922350997125,328.15099999999995,i,au,1,malia,513,327.69762555721496,328.15099999999995,-,au,,not sure here
KLH063a,--,au,1489,0.34123654435148865,328.15099999999995,328.49223654435144,a,sp,1,au,514,328.15099999999995,328.49223654435144,malia,-,,not sure here
KLH063a,KLH063a_0632,o,1492,0.07109740164941059,329.22990259835063,329.30100000000004,n,ʻ,0,noʻonoʻo,516,329.18100000000004,329.57033544177926,-,akula,,
KLH063a,KLH063a_0633,o,1494,0.049999999999954525,329.331,329.381,ʻ,n,0,noʻonoʻo,516,329.18100000000004,329.57033544177926,-,akula,,
KLH063a,KLH063a_0634,o,1496,0.041955866131900166,329.47904413386806,329.52099999999996,n,ʻ,0,noʻonoʻo,516,329.18100000000004,329.57033544177926,-,akula,,
KLH063a,KLH063a_0635,o,1498,0.03350848190262923,329.53682695987663,329.57033544177926,ʻ,a,0,noʻonoʻo,516,329.18100000000004,329.57033544177926,-,akula,,
KLH063a,--,a,1499,0.0052529841826185475,329.57033544177926,329.5755884259619,o,k,1,akula,517,329.57033544177926,330.0138373920527,noʻonoʻo,-,,
KLH063a,KLH063a_0636,u,1501,0.05000000000006821,329.76099999999997,329.81100000000004,k,l,0,akula,517,329.57033544177926,330.0138373920527,noʻonoʻo,-,,
KLH063a,--,a,1503,0.1328373920527497,329.881,330.0138373920527,l,sp,1,akula,517,329.57033544177926,330.0138373920527,noʻonoʻo,-,,disfl
KLH063a,KLH063a_0637,i,1505,0.15731249222915267,330.4034994056196,330.56081189784874,sp,ā,0,iā,519,330.4034994056196,330.631,-,lākou,,
KLH063a,KLH063a_0638,ā,1506,0.07018810215123494,330.56081189784874,330.631,i,l,0,iā,519,330.4034994056196,330.631,-,lākou,,
KLH063a,KLH063a_0639,ā,1508,0.12921494378474563,330.701,330.83021494378477,l,k,0,lākou,520,330.631,331.1318863211281,iā,ko,,
KLH063a,KLH063a_0640,ou,1510,0.15984080441324977,330.97204551671484,331.1318863211281,k,k,0,lākou,520,330.631,331.1318863211281,iā,ko,,
KLH063a,--,o,1512,0.07000000000005002,331.241,331.31100000000004,k,l,1,ko,521,331.1318863211281,331.31100000000004,lākou,lākou,,overlap
KLH063a,--,ā,1514,0.18000000000006366,331.361,331.54100000000005,l,k,1,lākou,522,331.31100000000004,331.769005262435,ko,noho,,overlap
KLH063a,KLH063a_0641,ou,1516,0.10205797840472997,331.66694728403024,331.769005262435,k,n,0,lākou,522,331.31100000000004,331.769005262435,ko,noho,,
KLH063a,KLH063a_0642,o,1518,0.05698875411684412,331.8840112458832,331.94100000000003,n,h,0,noho,523,331.769005262435,332.0205888346307,lākou,ʻana,,
KLH063a,KLH063a_0643,o,1520,0.0525298418259581,331.96805899280474,332.0205888346307,h,ʻ,0,noho,523,331.769005262435,332.0205888346307,lākou,ʻana,,
KLH063a,KLH063a_0644,a,1522,0.057898376015316444,332.0431016239847,332.101,ʻ,n,0,ʻana,524,332.0205888346307,332.2479680071059,noho,-,,
KLH063a,--,a,1524,0.0869680071058383,332.16100000000006,332.2479680071059,n,-,1,ʻana,524,332.0205888346307,332.2479680071059,noho,-,,quiet
KLH063a,KLH063a_0645,a,1527,0.06528708912651382,335.6838352385646,335.7491223276911,k,ʻ,0,kaʻōnohi,526,335.5435055182581,336.10332354686045,-,kaʻalakea,,
KLH063a,KLH063a_0646,ō,1529,0.05177941551414733,335.76713255917434,335.8189119746885,ʻ,n,0,kaʻōnohi,526,335.5435055182581,336.10332354686045,-,kaʻalakea,,
KLH063a,--,o,1531,0.05778282600857665,335.94423316875896,336.00201599476753,n,h,1,kaʻōnohi,526,335.5435055182581,336.10332354686045,-,kaʻalakea,,weird quality
KLH063a,KLH063a_0647,i,1533,0.060034104943952116,336.0432894419165,336.10332354686045,h,k,0,kaʻōnohi,526,335.5435055182581,336.10332354686045,-,kaʻalakea,,
KLH063a,KLH063a_0648,a,1535,0.07054007330913237,336.22226961857535,336.2928096918845,k,ʻ,0,kaʻalakea,527,336.10332354686045,336.70104160550335,kaʻōnohi,kaʻu,,
KLH063a,KLH063a_0649,a,1537,0.07586596504194176,336.31600000000003,336.391865965042,ʻ,l,0,kaʻalakea,527,336.10332354686045,336.70104160550335,kaʻōnohi,kaʻu,,
KLH063a,KLH063a_0650,a,1539,0.033018757719162295,336.43313941219094,336.4661581699101,l,k,0,kaʻalakea,527,336.10332354686045,336.70104160550335,kaʻōnohi,kaʻu,,
KLH063a,KLH063a_0651,e,1541,0.08928470430879543,336.56671529569127,336.65600000000006,k,a,0,kaʻalakea,527,336.10332354686045,336.70104160550335,kaʻōnohi,kaʻu,,
KLH063a,KLH063a_0652,a,1542,0.045041605503286064,336.65600000000006,336.70104160550335,e,k,0,kaʻalakea,527,336.10332354686045,336.70104160550335,kaʻōnohi,kaʻu,,
KLH063a,KLH063a_0653,a,1544,0.047276857643339554,336.79983717653255,336.8471140341759,k,ʻ,0,kaʻu,528,336.70104160550335,336.93641476528006,kaʻalakea,makuakāne,,
KLH063a,KLH063a_0654,u,1546,0.060034104943952116,336.8763806603361,336.93641476528006,ʻ,m,0,kaʻu,528,336.70104160550335,336.93641476528006,kaʻalakea,makuakāne,,
KLH063a,KLH063a_0655,a,1548,0.046526431331528784,337.0219633648252,337.0684897961567,m,k,0,makuakāne,529,336.93641476528006,337.7131059979924,kaʻu,kēlā,,
KLH063a,KLH063a_0656,u,1550,0.10887408437349677,337.196,337.3048740843735,k,a,0,makuakāne,529,336.93641476528006,337.7131059979924,kaʻu,kēlā,,
KLH063a,--,a,1551,0.009755542053426325,337.3048740843735,337.31462962642695,u,k,1,makuakāne,529,336.93641476528006,337.7131059979924,kaʻu,kēlā,,
KLH063a,KLH063a_0657,ā,1553,0.14408185186550782,337.4482055099272,337.5922873617927,k,n,0,makuakāne,529,336.93641476528006,337.7131059979924,kaʻu,kēlā,,
KLH063a,KLH063a_0658,e,1555,0.047105997992332505,337.66600000000005,337.7131059979924,n,k,0,makuakāne,529,336.93641476528006,337.7131059979924,kaʻu,kēlā,,
KLH063a,KLH063a_0659,ē,1557,0.08059075736599652,337.82540924263407,337.90600000000006,k,l,0,kēlā,530,337.7131059979924,338.1240789147302,makuakāne,-,,
KLH063a,KLH063a_0660,ā,1559,0.13807891473021527,337.986,338.1240789147302,l,sp,0,kēlā,530,337.7131059979924,338.1240789147302,makuakāne,-,,
KLH063a,KLH063a_0661,a,1561,0.21324490805363894,339.1827550919463,339.39599999999996,sp,ʻ,0,a,532,339.1827550919463,339.39599999999996,-,ʻo,,
KLH063a,KLH063a_0662,o,1563,0.09284697785932394,339.44315302214073,339.53600000000006,ʻ,i,0,ʻo,533,339.39599999999996,339.53600000000006,a,ia,,
KLH063a,KLH063a_0663,i,1564,0.12999999999999545,339.53600000000006,339.66600000000005,o,a,0,ia,534,339.53600000000006,339.79960552024545,ʻo,-,,
KLH063a,KLH063a_0664,a,1565,0.1336055202453963,339.66600000000005,339.79960552024545,i,sp,0,ia,534,339.53600000000006,339.79960552024545,ʻo,-,,
KLH063a,KLH063a_0665,o,1568,0.05478112076133357,340.2350745807696,340.28985570153094,n,k,0,no,536,340.2155634966628,340.28985570153094,-,ka,,
KLH063a,--,a,1570,0.018760657794985036,340.3611462011519,340.37990685894687,k,m,1,ka,537,340.28985570153094,340.37990685894687,no,mea,,
KLH063a,KLH063a_0666,e,1572,0.12954965724958356,340.45645034275043,340.586,m,a,0,mea,538,340.37990685894687,340.836,ka,-,,
KLH063a,KLH063a_0667,a,1573,0.25,340.586,340.836,e,sp,0,mea,538,340.37990685894687,340.836,ka,-,,
KLH063a,KLH063a_0668,a,1576,0.03827174190178084,341.2520899279944,341.2903616698962,k,ʻ,0,kaʻu,540,341.20331221772744,341.3826641062475,-,kaikunane,,
KLH063a,KLH063a_0669,u,1578,0.0735417785563186,341.30912232769117,341.3826641062475,ʻ,k,0,kaʻu,540,341.20331221772744,341.3826641062475,-,kaikunane,,
KLH063a,KLH063a_0670,ai,1580,0.09230243635130364,341.48247080571684,341.57477324206815,k,k,0,kaikunane,541,341.3826641062475,342.04600000000005,kaʻu,ʻo,,
KLH063a,KLH063a_0671,u,1582,0.05999999999994543,341.66600000000005,341.726,k,n,0,kaikunane,541,341.3826641062475,342.04600000000005,kaʻu,ʻo,,
KLH063a,KLH063a_0672,a,1584,0.10684929070390581,341.79915070929616,341.90600000000006,n,n,0,kaikunane,541,341.3826641062475,342.04600000000005,kaʻu,ʻo,,
KLH063a,KLH063a_0673,e,1586,0.07000000000005002,341.976,342.04600000000005,n,ʻ,0,kaikunane,541,341.3826641062475,342.04600000000005,kaʻu,ʻo,,
KLH063a,KLH063a_0674,o,1588,0.08000000000004093,342.126,342.206,ʻ,i,0,ʻo,542,342.04600000000005,342.206,kaikunane,ia,,
KLH063a,KLH063a_0675,i,1589,0.17999999999994998,342.206,342.38599999999997,o,a,0,ia,543,342.206,342.446,ʻo,ma,,
KLH063a,KLH063a_0676,a,1590,0.06000000000005912,342.38599999999997,342.446,i,m,0,ia,543,342.206,342.446,ʻo,ma,,
KLH063a,KLH063a_0677,a,1592,0.03418794415074444,342.5418120558493,342.576,m,n,0,ma,544,342.446,342.576,ia,neʻi,,
KLH063a,KLH063a_0678,e,1594,0.04352472608439939,342.6768887919731,342.7204135180575,n,ʻ,0,neʻi,545,342.576,342.789452738743,ma,nei,,
KLH063a,KLH063a_0679,i,1596,0.057032399696709035,342.7324203390463,342.789452738743,ʻ,n,0,neʻi,545,342.576,342.789452738743,ma,nei,,
KLH063a,KLH063a_0680,ei,1598,0.1941129876463492,342.89599999999996,343.0901129876463,n,sp,0,nei,546,342.789452738743,343.0901129876463,neʻi,-,,
