file,label,group,color,number
KLH063a_0547.wav,au,14,Maroon,547
KLH063a_0548.wav,e,2,Blue,548
KLH063a_0549.wav,i,3,Black,549
KLH063a_0550.wav,a,1,Red,550
KLH063a_0551.wav,o,4,Green,551
KLH063a_0552.wav,a,1,Red,552
KLH063a_0553.wav,e,2,Blue,553
KLH063a_0554.wav,a,1,Red,554
KLH063a_0555.wav,a,1,Red,555
KLH063a_0556.wav,u,5,Olive,556
KLH063a_0557.wav,a,1,Red,557
KLH063a_0558.wav,u,5,Olive,558
KLH063a_0559.wav,e,2,Blue,559
KLH063a_0560.wav,a,1,Red,560
KLH063a_0561.wav,ō,9,Lime,561
KLH063a_0562.wav,o,4,Green,562
KLH063a_0563.wav,i,3,Black,563
KLH063a_0564.wav,a,1,Red,564
KLH063a_0565.wav,o,4,Green,565
KLH063a_0566.wav,u,5,Olive,566
KLH063a_0567.wav,o,4,Green,567
KLH063a_0568.wav,o,4,Green,568
KLH063a_0569.wav,a,1,Red,569
KLH063a_0570.wav,a,1,Red,570
KLH063a_0571.wav,e,2,Blue,571
KLH063a_0572.wav,i,3,Black,572
KLH063a_0573.wav,ā,6,Yellow,573
KLH063a_0574.wav,i,3,Black,574
KLH063a_0575.wav,a,1,Red,575
KLH063a_0576.wav,ēi,24,Yellow,576
KLH063a_0577.wav,ō,9,Lime,577
KLH063a_0578.wav,e,2,Blue,578
KLH063a_0579.wav,o,4,Green,579
KLH063a_0580.wav,o,4,Green,580
KLH063a_0581.wav,o,4,Green,581
KLH063a_0582.wav,i,3,Black,582
KLH063a_0583.wav,ō,9,Lime,583
KLH063a_0584.wav,āu,18,Black,584
KLH063a_0585.wav,a,1,Red,585
KLH063a_0586.wav,ā,6,Yellow,586
KLH063a_0587.wav,i,3,Black,587
KLH063a_0588.wav,i,3,Black,588
KLH063a_0589.wav,o,4,Green,589
KLH063a_0590.wav,a,1,Red,590
KLH063a_0591.wav,a,1,Red,591
KLH063a_0592.wav,a,1,Red,592
KLH063a_0593.wav,a,1,Red,593
KLH063a_0594.wav,a,1,Red,594
KLH063a_0595.wav,a,1,Red,595
KLH063a_0596.wav,a,1,Red,596
KLH063a_0597.wav,e,2,Blue,597
KLH063a_0598.wav,e,2,Blue,598
KLH063a_0599.wav,a,1,Red,599
KLH063a_0600.wav,a,1,Red,600
KLH063a_0601.wav,i,3,Black,601
KLH063a_0602.wav,a,1,Red,602
KLH063a_0603.wav,u,5,Olive,603
KLH063a_0604.wav,a,1,Red,604
KLH063a_0605.wav,o,4,Green,605
KLH063a_0606.wav,i,3,Black,606
