file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH063a_0991,685.8,1402.3,2406.5,26.3,-81.8,-43.1,-7.7,25.2,18.7,34,-16,-23.1,28.2,-9.3,7.8,53,7.6,-7.9
KLH063a_0992,590.5,1400.5,2546.1,-66.3,16,65.2,-34.3,-16.6,-55.1,-22.3,27.9,-24.4,-14,0,-6.6,-20.2,2,-24.3
KLH063a_0993,660.9,1317.5,2494.8,26.3,109,-26.4,-91.8,21.3,104.5,-29.8,21,-9.4,-24.1,-8.1,41.4,-16.9,0.4,-9.4
KLH063a_0994,427.4,1095.4,2804.1,60.4,-3.4,9.2,-42.2,-23.7,-45.8,-2.9,-15.9,-16,-7.1,11.8,-15.1,-10.4,3.2,-6.5
KLH063a_0995,441.2,1177.9,2567.3,14.1,-180.4,127,-49.2,32.2,-38,-23.2,-119.4,-37.2,-13.9,-0.4,-29.1,-4.8,15,16.1
KLH063a_0996,374.4,2089.3,2555.3,0.9,-273.9,-311.5,9.6,-80.8,149,-1.8,-46.6,-11.2,2.5,-45.3,-44.7,0.3,-38.2,41.1
KLH063a_0997,568.1,1382.5,2820.2,-2,193.7,7.2,-79.4,-4.8,-28.7,15.9,31.2,-2.3,-32.1,10.7,24.9,-9.1,-3.9,1
KLH063a_0998,811.8,1334.8,2681.6,-71.3,-6.4,-17.7,-45.4,-61.4,-0.9,24,-72.7,14.8,-30.4,2.4,13.6,-24.5,73.2,-3.4
KLH063a_0999,752.6,1470.3,2576.6,134.2,-181.4,9.7,-31.8,40.6,30.4,4.4,-15,-1.8,-12.8,-22.6,-15.7,9.2,7.9,16.6
KLH063a_1000,516.9,1267.1,2688.6,-67.1,-157.3,-55.7,-28,138.9,24.5,-28.8,124.1,52.4,-24.3,-86.4,-3.3,1.3,83.9,-13.1
KLH063a_1001,541.6,1218.3,2583.5,59.7,-134.2,137.7,-6.9,169.6,60.1,-4.9,55.5,78.2,-25.7,76.9,32.8,-9.8,9.2,15.1
KLH063a_1002,350.8,2043,2555,36.6,-284.2,-354.2,14.5,-174.2,136.3,20.8,-41.1,52.8,9.7,20.1,-49.9,1.3,22.5,11.7
KLH063a_1003,839,1339,2580,-49.3,140.4,-51.6,-20.9,69.6,4.9,-47.1,42.3,46.4,-15.5,0,10,-25,7.3,15
KLH063a_1004,472.2,1067.8,2528,136.4,59.9,-42,2.6,46.8,-81.1,-3.7,-38.8,-5.2,-15.3,29.9,-8,-3.6,-17.6,4.2
KLH063a_1005,320.1,1900,2357.5,27.6,312.3,35.1,-35.8,-145.6,5.1,1.9,-167.8,-60.1,-9.2,55.1,24.2,9.6,50.3,-10.4
KLH063a_1006,479.8,1855.7,2604.3,-80.8,192.6,155.3,-10.2,11.1,11,-12.5,5.5,0.1,2,-20.3,-1.4,2.8,15.8,6.6
KLH063a_1007,682.3,1480,2384.7,83,-26.1,-15,-5.4,-12.3,-26.9,-7.5,-11.8,-22.9,-2.2,1,-0.9,-1.4,-4.4,-5.7
KLH063a_1008,723.2,1314.6,2460.1,-17.4,70.9,8.1,-24.4,20.5,4.2,-4,7.3,27.4,-15.4,5,6.3,-2.6,5.5,-8.5
KLH063a_1009,791.3,1233.9,2871.9,21.6,95.8,-35.3,-44,10.9,-44.2,-0.8,-13.5,-37.2,8.2,-48.7,37.9,7.7,-47.6,-13.4
KLH063a_1010,538.5,1055.7,2709.3,100.4,-56.7,198.9,-38.8,74.7,-63.6,17.2,-39.4,22.6,15.8,22.9,-3.3,-10.4,-23.4,-0.7
KLH063a_1011,364.5,2027.7,2784.8,10.7,-182.8,-163.1,-8.1,-263.9,-289.3,-1.7,-69.7,7.6,38.7,-30.6,52.8,-1.5,-10.2,47.4
KLH063a_1012,505.2,1618.6,2483.9,-51.1,209.7,18.3,-31.8,-6.6,24.5,10.2,29.2,36,-12,28.7,20.6,6.5,12.7,22.8
KLH063a_1013,584.8,1267.6,2515,-12,126.5,-109.6,-15.1,47.9,-25.4,1.5,13.3,29.4,7.2,3.2,14.1,-3.3,-5.5,1.8
KLH063a_1014,444.2,1258.3,2555.6,0.3,-405,-9.2,11.9,138.4,35.4,43.3,171.1,-6.2,-0.6,-49.8,-14.2,-10.4,-31.4,4.1
KLH063a_1015,692.2,1443.4,2454.4,107.5,-123.9,-42.5,-40.7,5.6,62.7,12.6,9,-1.4,-17.2,1.2,16.1,2.2,-0.8,2
KLH063a_1016,493.7,1230.5,2685.7,-133.1,216.3,-165.5,36.2,103.8,24.7,-42.1,-0.6,-4.9,-17.9,-8.8,24.4,-18.7,-2,5.5
KLH063a_1017,793.1,1323.1,2602.5,85.5,86.3,13.9,55.3,-5.6,33.7,7.1,8.7,6.6,-8.3,16,-4.2,-23.9,13.5,9.8
KLH063a_1018,411.2,1127.6,2155.7,-104.8,298.2,-20.2,-22.4,25.5,-21.4,-24.3,-375,-198,4.2,40,15,0.6,118,58
KLH063a_1019,682.4,1335.1,2333.1,45.6,-189.4,-2.4,-36.7,-0.2,-13.1,9.7,-18.8,3.9,-18.3,5.9,-6.9,2,-13.3,-1.6
KLH063a_1020,732.2,1335.2,2461.8,-101.9,63.1,-49.1,-7.7,45.5,123.5,-57.8,-16.6,-37.2,-26,17.8,26.5,-26.3,-6.8,-0.3
KLH063a_1021,270.2,2166.3,3070.7,-1,21.5,79.7,-5,-35.8,28.3,-9.7,-2.5,-5.3,-7.1,-15.6,8.9,-5.9,17.8,-8.8
KLH063a_1022,433.3,1252.1,2500.7,-13.3,214.5,-1,-13.1,77.5,-26.5,-3.8,-16.3,-10.9,-3.9,3.8,-4.2,-1.7,10.8,2.3
KLH063a_1023,490.2,1198.4,2437.2,-10.1,-377.8,-148.3,-19,69.5,92.6,11.4,-42.8,-66.2,18.8,31,47.1,-6.6,2.2,-29.6
KLH063a_1024,626.1,1285.9,2274.3,12.3,46.2,-108.7,-1.1,29.4,31.4,2.1,16.8,-14.5,-6,-4.2,-14.1,3.7,8.5,-3.2
KLH063a_1025,366.8,956.4,2303.3,0.5,133.2,252,-5.9,-30.4,-90.6,-9.3,-167.2,-76.1,34.1,136.2,73.7,12,-5.8,0.4
KLH063a_1026,445.3,1032.1,2294.7,5.3,-88.9,61.3,21,205.3,22.1,3.6,84.4,7.3,-4.5,100.3,-3.5,-13.3,58.5,-20.2
KLH063a_1027,418.8,1760.7,2331.2,-24.9,164.5,-16.9,27.1,-139.9,-9.9,1.1,6,-4.7,1.2,-36,-23,8.6,-13.1,-17.7
KLH063a_1028,633.8,1099.6,2387.4,-12.6,12.9,95.6,-22.6,-1.2,-35,-1.1,2.9,-18.2,-23.7,-5.6,34,2.7,5,-17.6
KLH063a_1029,347.8,1227.5,2431.7,-7.7,92.1,-89.1,-14.6,-188.4,15.9,13,128.2,125.9,-0.4,28.1,108.9,-12.5,21.2,76.2
KLH063a_1030,623.5,1084,2457.5,-184.7,-113.2,-0.4,-17.8,-22.2,15.6,-34.4,-32.4,19.3,12.8,10.1,1.2,-5.5,-7.3,-5.3
KLH063a_1031,607.3,1199.5,2452.9,15.5,25.9,-32.9,6.5,15.1,10.5,19.5,17.4,-44.4,-1.1,18,-37.2,16.8,9.2,-11
KLH063a_1032,352.3,1046.3,2544.6,28.6,-185.3,42.7,10.9,114,-124.5,6.1,-35.2,-72.9,-4.3,103.9,76.5,-3.8,-52.8,-47
KLH063a_1033,449.4,1046.3,2831.2,-9.3,84.3,5.3,-0.7,76.8,-62.6,28.8,-6.2,-1.6,-22.7,33.6,-1.5,18.7,-5,-26.4
KLH063a_1034,546.6,1645.6,2546.9,-47.7,-88.5,-3.4,-26.9,-48.4,-5.6,-21.2,-24.2,-21.6,2.4,-22.9,7.1,-2.6,20.2,7.4
KLH063a_1035,707.5,1410,2375.7,53,-59.9,-106.6,-20.6,8.6,42.8,-2.9,13.1,110,-7.8,7.6,-45.9,2.5,0.7,-23.6
KLH063a_1036,633.6,1296.3,2452.8,-88.4,29.7,10.2,-83.1,-13.9,-8.1,-25.7,6.8,-14.9,-15.8,-10.4,-14.2,7.3,5.4,1
KLH063a_1037,489.4,1250.8,2303.6,40.5,29.8,-39,14.5,64,44.9,8.7,5,-18,-7.1,16.7,1.1,-2.3,8.5,-25.6
KLH063a_1038,389.3,1867.7,2489.5,-42.8,146.8,149.8,8.6,-181.2,43.5,2.3,13.6,-8.2,-15.4,-53,-3.6,0.6,-35.8,-28.6
KLH063a_1039,546.8,1150.8,2426.8,-66.3,208.1,1.8,21.1,76.6,27.2,-38.4,-53.2,-27.3,-4.9,-1.8,28.8,9.7,2,-42.8
KLH063a_1040,575.5,1003,2437.4,52.4,112.6,31.7,38.2,17.5,31,0,17.9,4,17.1,6.3,-13.4,5.9,-8.2,-14.7
