,X,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
99,99,KLH032b_0016,a,kakaʻako,10.99250351,primary,16.08116547,20.00089992,NA
100,100,KLH032a_2251,au,mokuhau,987.7827236,primary,15.91991471,5.077197004,1
101,101,KLH032a_2237,ī,ʻīao,982.3751971,secondary,15.82397431,13.5397353,20
102,102,KLH032a_2147,ou,kou,941.4950008,primary,15.80572309,4.508018896,1
103,103,KLH032e_0133,o,poʻalua,67.4948,secondary,15.7600151,11.060083,NA
104,104,KLH032b_0049,au,hauʻoli,20.7965,secondary,15.71901837,7.189163702,0
105,105,KLH032a_1233,a,kanaka,620.0590928,unstressed,15.56820416,1.72793414,1
106,106,KLH032a_0087,o,hoʻonohonoho,116.5269528,unstressed,15.5631173,15.31599024,NA
107,107,KLH032a_3333,o,holo,1458.997545,unstressed,15.55374349,14.20864786,NA
108,108,KLH032a_1815,u,luahi,847.8321042,unstressed,15.50817119,16.57026227,1
109,109,KLH032a_0564,ā,kaikamāhine,327.9262563,secondary,15.46224774,12.58084812,0
110,110,KLH032e_0523,i,hōʻino,194.7214578,primary,15.39782546,15.49940427,20
111,111,KLH032a_1932,ou,hoʻounauna,878.1613596,secondary,15.3920915,13.64976161,NA
112,112,KLH032a_2038,ou,mākou,909.0292214,primary,15.32878147,8.745773676,1
113,113,KLH032a_2802,i,iā,1154.129374,unstressed,15.16812563,10.2874844,NA
114,114,KLH032a_2080,ae,ʻae,924.6625354,primary,15.11943613,7.071405897,NA
115,115,KLH032a_0072,i,iā,114.0411,unstressed,15.09275809,0.815894312,NA
116,116,KLH032d_0065,u,iaʻu,36.41394429,unstressed,15.08606875,10.7375397,NA
117,117,KLH032e_0155,o,hoʻomana,72.99946964,secondary,14.95496832,7.729583051,NA
118,118,KLH032a_3321,a,makahiki,1456.180046,unstressed,14.80956929,14.80374297,NA
119,119,KLH032a_2025,ū,kūpuna,902.6461,secondary,14.7058792,18.27216636,0
120,120,KLH032a_2809,au,hoʻohauʻoli,1154.861018,secondary,14.65741704,3.970622021,0
121,121,KLH032e_0524,o,hōʻino,194.8913878,unstressed,14.64792408,11.72426953,1
122,122,KLH032a_1292,u,kapu,635.1360121,unstressed,14.62968906,19.15494162,0
123,123,KLH032a_2196,a,lokomaikaʻi,965.1296762,primary,14.5801635,14.08416063,NA
124,124,KLH032e_0108,i,nui,59.00144531,unstressed,14.48852281,14.41047784,NA
125,125,KLH032e_0076,i,iaʻu,47.9388,unstressed,14.43747948,10.40491316,NA
