file,filename,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
27,KLH021a_0027,u,57,0.18070627068240697,135.7714937293176,135.9522,m,a,0,mua,19,135.6122,136.0022,keiki,o,,
28,KLH021a_0028,a,58,0.04999999999998295,135.9522,136.0022,u,o,0,mua,19,135.6122,136.0022,keiki,o,,
29,KLH021a_0029,o,59,0.183418834315205,136.0022,136.1856188343152,a,k,0,o,20,136.0022,136.1856188343152,mua,koʻu,,
30,KLH021a_0030,o,61,0.03914476589486071,136.2922,136.33134476589487,k,ʻ,0,koʻu,21,136.1856188343152,136.42767207660006,o,tūtū,,
31,KLH021a_0031,u,63,0.06504151748470122,136.36263055911536,136.42767207660006,ʻ,t,0,koʻu,21,136.1856188343152,136.42767207660006,o,tūtū,,
32,KLH021a_0032,ū,65,0.11597414959058483,136.5486986977425,136.6646728473331,t,t,0,tūtū,22,136.42767207660006,137.11320336218475,koʻu,ʻo,,
33,KLH021a_0033,ū,67,0.2944588703284978,136.81874449185625,137.11320336218475,t,ʻ,0,tūtū,22,136.42767207660006,137.11320336218475,koʻu,ʻo,,
34,KLH021a_0034,o,69,0.13701226042414305,137.26518773957585,137.4022,ʻ,i,0,ʻo,23,137.11320336218475,137.4022,tūtū,ia,,
35,KLH021a_0035,i,70,0.15000000000000568,137.4022,137.5522,o,a,0,ia,24,137.4022,137.6175535083761,ʻo,nō,,
36,KLH021a_0036,a,71,0.06535350837609144,137.5522,137.6175535083761,i,n,0,ia,24,137.4022,137.6175535083761,ʻo,nō,,
37,KLH021a_0037,ō,73,0.24058587155479927,137.70416442213582,137.94475029369062,n,sp,0,nō,25,137.6175535083761,137.94475029369062,ia,-,,
38,KLH021a_0038,o,76,0.37849859859551316,138.79557200348123,139.17407060207674,ʻ,sp,0,ʻo,27,138.76966275577533,139.17407060207674,-,-,,
39,KLH021a_0039,ā,79,0.12362412476815621,140.16296177962744,140.2865859043956,k,w,0,kāwika,29,140.11558486953663,140.8366272449072,-,kaʻalekahi,,
40,KLH021a_0040,i,81,0.08670932590672464,140.3522,140.43890932590674,w,k,0,kāwika,29,140.11558486953663,140.8366272449072,-,kaʻalekahi,,
41,KLH021a_0041,a,83,0.30119757038607986,140.5354296745211,140.8366272449072,k,k,0,kāwika,29,140.11558486953663,140.8366272449072,-,kaʻalekahi,,
42,KLH021a_0042,a,85,0.06487426946517871,140.93153973165815,140.99641400112333,k,ʻ,0,kaʻalekahi,30,140.8366272449072,141.56214553377112,kāwika,-,,
43,KLH021a_0043,a,87,0.057883087278753464,141.02431691272125,141.0822,ʻ,l,0,kaʻalekahi,30,140.8366272449072,141.56214553377112,kāwika,-,,
0,--,e,89,0.028600484387851566,141.13732370469282,141.16592418908067,l,k,1,kaʻalekahi,30,140.8366272449072,141.56214553377112,kāwika,-,,
44,KLH021a_0044,a,91,0.07276641515659321,141.2822,141.35496641515658,k,h,0,kaʻalekahi,30,140.8366272449072,141.56214553377112,kāwika,-,,
45,KLH021a_0045,i,93,0.13323640288004412,141.42890913089107,141.56214553377112,h,sp,0,kaʻalekahi,30,140.8366272449072,141.56214553377112,kāwika,-,,
46,KLH021a_0046,e,96,0.27763397039927895,142.41534984954964,142.69298381994892,m,k,0,me,32,142.37279790936282,142.69298381994892,-,kaleikauʻea,,
