filename	speaker	syll	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9
KLH063a_0001.wav	KLH063a		--undefined--	--undefined--	--undefined--	113.93033292908683	110.5848009190622	102.17179620044706	72.04780495609839	--undefined--	--undefined--
KLH063a_0002.wav	KLH063a		--undefined--	--undefined--	--undefined--	--undefined--	112.617293546949	114.15740255869396	117.34129636570925	--undefined--	--undefined--
KLH063a_0003.wav	KLH063a		--undefined--	--undefined--	125.42427394327291	127.07797729512357	124.33222050175546	124.20151967828252	123.31182825103224	--undefined--	--undefined--
KLH063a_0004.wav	KLH063a		--undefined--	130.61280780033334	132.74529735549794	132.2736944408261	130.23238925541722	130.90919592805923	131.85236703865866	129.0608087930184	--undefined--
KLH063a_0005.wav	KLH063a		--undefined--	121.1231035686976	123.19833160029236	124.59726956630561	122.2507029887629	116.34595704876685	111.01062814746983	--undefined--	--undefined--
KLH063a_0006.wav	KLH063a		--undefined--	--undefined--	93.65733995170771	93.58648856040313	94.57680556661634	94.47360001861915	94.05375995738136	97.1871697414658	--undefined--
KLH063a_0007.wav	KLH063a		--undefined--	--undefined--	115.57114882045045	103.05195824353005	91.64145032057343	103.6966348729673	96.19324731932191	--undefined--	--undefined--
KLH063a_0009.wav	KLH063a		--undefined--	146.55417995929105	150.8845743414244	152.68138795763073	153.55870695244838	154.8518593276544	157.12241100638104	157.93743659649533	--undefined--
KLH063a_0010.wav	KLH063a		--undefined--	--undefined--	137.82725172593686	136.19317791404404	137.83295787859436	138.9455539853286	137.95739274281507	132.1861246669619	--undefined--
KLH063a_0011.wav	KLH063a		--undefined--	130.53857445879072	128.95289953728323	125.16773362952678	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
KLH063a_0012.wav	KLH063a		--undefined--	--undefined--	--undefined--	--undefined--	122.89432675073766	121.74060848252752	119.81891919901908	--undefined--	--undefined--
KLH063a_0013.wav	KLH063a		--undefined--	--undefined--	119.8714642197138	120.23778061558578	110.38808965080113	111.9614102996341	113.11350607601617	--undefined--	--undefined--
KLH063a_0014.wav	KLH063a		--undefined--	151.01060578246774	157.10460213267103	162.68799468103185	168.020891468411	172.76387994336875	175.29287385508303	174.55564653261908	--undefined--
KLH063a_0015.wav	KLH063a		--undefined--	179.65132904912514	174.95334859293774	168.07924631159807	162.8161803219143	158.61734044202842	150.17641991498238	142.13134856548075	--undefined--
KLH063a_0016.wav	KLH063a		--undefined--	--undefined--	121.67018259417299	118.67881732383525	113.7277695348801	112.8334816778136	116.04600342651949	--undefined--	--undefined--
KLH063a_0018.wav	KLH063a		--undefined--	--undefined--	--undefined--	125.59679438709023	126.81626681460654	130.7927593673913	129.87560856141423	126.10599306440535	--undefined--
KLH063a_0019.wav	KLH063a		--undefined--	--undefined--	116.07202132276636	109.92922128200291	107.12560843774779	105.32255185056319	102.82686323977288	--undefined--	--undefined--
KLH063a_0020.wav	KLH063a		--undefined--	--undefined--	165.58306819815704	156.3354563706637	146.55566212629654	--undefined--	112.5437682565322	--undefined--	--undefined--
KLH063a_0021.wav	KLH063a		--undefined--	--undefined--	127.64481465146541	127.81940408617369	125.57549603420354	121.96434024005393	119.50009061065698	--undefined--	--undefined--
KLH063a_0022.wav	KLH063a		--undefined--	--undefined--	138.4344818407106	147.0790690398099	150.0124645328699	146.19863281780349	142.74590587704643	--undefined--	--undefined--
KLH063a_0023.wav	KLH063a		--undefined--	--undefined--	105.95703843304852	99.34102617592681	94.78373625012482	92.16720353076657	85.50150393274488	--undefined--	--undefined--
KLH063a_0024.wav	KLH063a		--undefined--	110.33892031224592	109.57839726087731	107.8918966582693	107.1603900984479	104.67330427784064	103.82181142090386	103.29246451442175	--undefined--
KLH063a_0025.wav	KLH063a		--undefined--	--undefined--	119.01056470159317	131.25832381250012	136.90712465821085	141.3909986786475	139.94250410856623	--undefined--	--undefined--
KLH063a_0026.wav	KLH063a		--undefined--	121.4993568710659	109.83404966722472	109.65646520976983	106.80931663933303	106.13415109548667	99.80794940722387	94.46295329754354	--undefined--
KLH063a_0027.wav	KLH063a		--undefined--	--undefined--	115.96845701053974	118.3339554603553	113.44957310638691	112.43273993822443	107.59033508507453	--undefined--	--undefined--
KLH063a_0028.wav	KLH063a		--undefined--	--undefined--	113.09421444597474	116.12001233170791	117.22228768462715	117.55196383928524	116.98461239825774	--undefined--	--undefined--
KLH063a_0029.wav	KLH063a		--undefined--	--undefined--	145.56276932140517	140.72413716483499	138.76375995678495	138.56503643997553	135.93402169567048	--undefined--	--undefined--
KLH063a_0030.wav	KLH063a		--undefined--	120.79865847456203	115.67961652742468	115.16651252896324	115.92517844083389	113.94905497163556	110.67511467486491	106.38983627980757	--undefined--
KLH063a_0031.wav	KLH063a		--undefined--	116.04723979045004	121.3127438170975	123.48538289871159	124.36552806217945	125.40944546522205	124.25661317613289	--undefined--	--undefined--
KLH063a_0032.wav	KLH063a		--undefined--	145.88492440280626	142.39275852813387	137.9756426259834	136.00757373641312	134.36406588458178	132.38748065663378	129.66345561504542	--undefined--
KLH063a_0033.wav	KLH063a		--undefined--	--undefined--	133.70320061538584	131.25354697498273	130.95818126773594	126.33557405367335	122.02676074659014	--undefined--	--undefined--
KLH063a_0034.wav	KLH063a		--undefined--	141.7184033405064	148.6973824197786	155.55382534787438	159.32643041189178	159.19222560721715	157.5517276639708	155.8149618938416	--undefined--
KLH063a_0035.wav	KLH063a		--undefined--	--undefined--	127.44399831624628	125.69218958933492	126.69007737155623	127.10775045785013	126.8690266966663	--undefined--	--undefined--
KLH063a_0036.wav	KLH063a		--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
KLH063a_0037.wav	KLH063a		--undefined--	--undefined--	134.45434205307578	133.67625938985924	128.01229326912275	120.99758637614023	129.2469900873594	--undefined--	--undefined--
KLH063a_0038.wav	KLH063a		--undefined--	--undefined--	134.97701299682413	130.44085563333658	124.26455369087024	--undefined--	--undefined--	--undefined--	--undefined--
KLH063a_0041.wav	KLH063a		--undefined--	126.88562547652548	125.5760957803302	125.53407666367669	126.44530369623357	127.77287467051684	129.114713473501	129.3707757376975	--undefined--
KLH063a_0042.wav	KLH063a		--undefined--	--undefined--	129.3399083892917	129.60271742607716	129.19055933466302	128.81259928101042	127.95158668044824	--undefined--	--undefined--
KLH063a_0043.wav	KLH063a		--undefined--	--undefined--	123.68193479565537	121.71852744890082	118.79252242690094	116.90872760686278	114.31114245785841	--undefined--	--undefined--
KLH063a_0044.wav	KLH063a		--undefined--	--undefined--	115.53103607980387	115.07279207652198	115.37358011388126	115.03150217039898	114.67381653292558	--undefined--	--undefined--
