"","filename","vowel","word","start","stress","mahal_mean","mahal_median"
"127","KLH032a_1419","a","ia",690.219695720314,"unstressed",20.7235793497028,20.8077293114509
"128","KLH032a_0195","au","au",181.2541,"primary",20.6377355836585,12.0906321618154
"129","KLH032e_0658","ā","peletānia",254.980102630716,"secondary",20.6213327583919,19.373044170542
"130","KLH032a_2339","a","kana",1019.43259637687,"unstressed",20.5805766835033,20.5170557266394
"131","KLH032a_1676","a","ia",774.817342264493,"unstressed",20.5690085593607,20.6899293713394
"132","KLH032a_1113","u","hāpuku",588.430235045993,"unstressed",20.5082243496238,16.5000993349425
"133","KLH032a_2052","u","kupuna",920.24511043431,"unstressed",20.498374155493,21.0858777019846
"134","KLH032a_0001","a","ʻakahi",90.6030068954604,"unstressed",20.479665815049,15.0260401199716
"135","KLH032a_2283","a","ʻia",998.445045238473,"unstressed",20.4170297666666,21.0755149509814
"136","KLH032a_1603","ū","hehikū",751.299472197031,"primary",20.358748083501,18.9150307500016
"137","KLH032e_0468","a","na",179.6326772244,"unstressed",20.3514211056749,19.3385592423648
"138","KLH032a_2034","a","ʻano",905.659924048249,"primary",20.2517847805392,9.00754195779523
"139","KLH032d_0298","a","a",129.948258345508,"unstressed",20.2259923378019,19.5005488527174
"140","KLH032a_1769","u","pōhaku",832.906198332217,"unstressed",20.1439789535063,17.660295564596
"141","KLH032a_2195","a","lokomaikaʻi",965.129676225991,"primary",20.0977471585374,20.5179564708956
"142","KLH032a_1071","o","o",575.638663399264,"unstressed",20.0671599391568,13.2923777935669
"143","KLH032a_2980","u","honolulu",1222.02331516737,"unstressed",20.0112233982199,24.4350398225897
"144","KLH032a_2494","a","a",1067.89274175503,"unstressed",19.9077140536032,5.51557968804161
"145","KLH032a_1368","u","akua",679.140216777565,"primary",19.90382442122,23.0857912506489
"146","KLH032a_1566","ā","nānā",741.313572475273,"primary",19.8771472355317,17.1913205773034
"147","KLH032a_1814","u","luahi",847.832104245703,"unstressed",19.8673631775914,20.3403225303952
"148","KLH032a_2322","u","ua",1015.87411414098,"primary",19.6608385370046,22.0677326089101
"149","KLH032a_0515","au","maui",303.879240105882,"primary",19.6196140772804,16.7528324143892
"150","KLH032a_2407","u","koʻu",1045.2591,"unstressed",19.6153155172558,20.9225561106509
"151","KLH032a_3221","a","a",1286.29047628764,"unstressed",19.6140266570739,12.2832977034127
"152","KLH032a_2856","o","lohe",1186.52594779058,"primary",19.5725235419956,19.3320635745153
"153","KLH032a_0414","u","nuʻuanu",277.266751363043,"unstressed",19.5192736478252,17.528815734987
"154","KLH032a_1521","ā","lākou",726.248569577065,"secondary",19.3425143881485,18.4149534091809
"155","KLH032a_2133","u","akua",938.026370217886,"primary",19.3135951052354,17.0115753050177
"156","KLH032a_2010","ā","mākou",900.105248519645,"secondary",19.1199658485508,21.2845384770404
"157","KLH032a_1617","a","kiaʻi",755.726641712508,"primary",19.0373737800775,17.8950226094395
"158","KLH032a_2614","ō","ʻōlelo",1108.28735932284,"secondary",19.0365712408949,7.00132997075032
"159","KLH032b_0049","au","hauʻoli",20.7965,"secondary",19.0108694874576,10.3437087532173
"160","KLH032e_0639","ā","inā",251.402472754644,"primary",18.8945295348041,15.2649072580226
"161","KLH032a_1102","a","iʻa",585.025619673995,"unstressed",18.7181429467107,18.0016636130198
"162","KLH032a_3414","u","ua",1486.92365316653,"primary",18.675453601095,20.9223040751961
"163","KLH032d_0301","a","ia",130.27492032139,"unstressed",18.6703671339929,20.478971846264
