file,label,group,color,number
KLH032a_3395.wav,a,1,Red,3395
KLH032a_3396.wav,u,5,Olive,3396
KLH032a_3397.wav,i,3,Black,3397
KLH032a_3398.wav,i,3,Black,3398
KLH032a_3399.wav,i,3,Black,3399
KLH032a_3400.wav,a,1,Red,3400
KLH032a_3401.wav,a,1,Red,3401
KLH032a_3402.wav,āi,15,Grey,3402
KLH032a_3403.wav,a,1,Red,3403
KLH032a_3404.wav,o,4,Green,3404
KLH032a_3405.wav,u,5,Olive,3405
KLH032a_3406.wav,a,1,Red,3406
KLH032a_3407.wav,ai,11,Teal,3407
KLH032a_3408.wav,a,1,Red,3408
KLH032a_3409.wav,a,1,Red,3409
KLH032a_3410.wav,e,2,Blue,3410
KLH032a_3411.wav,o,4,Green,3411
KLH032a_3412.wav,i,3,Black,3412
KLH032a_3413.wav,a,1,Red,3413
KLH032a_3414.wav,u,5,Olive,3414
KLH032a_3415.wav,ō,9,Lime,3415
KLH032a_3416.wav,o,4,Green,3416
KLH032a_3417.wav,e,2,Blue,3417
KLH032a_3418.wav,i,3,Black,3418
KLH032b_0001.wav,ae,12,Navy,3419
KLH032b_0002.wav,o,4,Green,3420
KLH032b_0003.wav,au,14,Maroon,3421
KLH032b_0004.wav,o,4,Green,3422
KLH032b_0005.wav,u,5,Olive,3423
KLH032b_0006.wav,o,4,Green,3424
KLH032b_0007.wav,a,1,Red,3425
KLH032b_0008.wav,e,2,Blue,3426
KLH032b_0009.wav,a,1,Red,3427
KLH032b_0010.wav,ā,6,Yellow,3428
KLH032b_0011.wav,a,1,Red,3429
KLH032b_0012.wav,a,1,Red,3430
KLH032b_0013.wav,o,4,Green,3431
KLH032b_0014.wav,a,1,Red,3432
KLH032b_0015.wav,a,1,Red,3433
KLH032b_0016.wav,a,1,Red,3434
KLH032b_0017.wav,o,4,Green,3435
KLH032b_0018.wav,a,1,Red,3436
KLH032b_0019.wav,a,1,Red,3437
KLH032b_0020.wav,e,2,Blue,3438
KLH032b_0021.wav,u,5,Olive,3439
KLH032b_0022.wav,e,2,Blue,3440
KLH032b_0023.wav,o,4,Green,3441
KLH032b_0024.wav,i,3,Black,3442
KLH032b_0025.wav,a,1,Red,3443
KLH032b_0026.wav,o,4,Green,3444
KLH032b_0027.wav,u,5,Olive,3445
KLH032b_0028.wav,u,5,Olive,3446
KLH032b_0029.wav,a,1,Red,3447
KLH032b_0030.wav,a,1,Red,3448
KLH032b_0031.wav,o,4,Green,3449
KLH032b_0032.wav,au,14,Maroon,3450
KLH032b_0033.wav,o,4,Green,3451
KLH032b_0034.wav,a,1,Red,3452
KLH032b_0035.wav,o,4,Green,3453
KLH032b_0036.wav,e,2,Blue,3454
KLH032b_0037.wav,e,2,Blue,3455
KLH032b_0038.wav,o,4,Green,3456
KLH032b_0039.wav,a,1,Red,3457
KLH032b_0040.wav,ai,11,Teal,3458
KLH032b_0041.wav,a,1,Red,3459
KLH032b_0042.wav,a,1,Red,3460
KLH032b_0043.wav,a,1,Red,3461
KLH032b_0044.wav,o,4,Green,3462
KLH032b_0045.wav,u,5,Olive,3463
KLH032b_0046.wav,i,3,Black,3464
KLH032b_0047.wav,o,4,Green,3465
KLH032b_0048.wav,a,1,Red,3466
KLH032b_0049.wav,au,14,Maroon,3467
KLH032b_0050.wav,o,4,Green,3468
KLH032b_0051.wav,i,3,Black,3469
KLH032b_0052.wav,o,4,Green,3470
KLH032b_0053.wav,e,2,Blue,3471
KLH032b_0054.wav,a,1,Red,3472
KLH032b_0055.wav,ē,7,Magenta,3473
KLH032b_0056.wav,ā,6,Yellow,3474
KLH032b_0057.wav,ē,7,Magenta,3475
KLH032b_0058.wav,ā,6,Yellow,3476
KLH032b_0059.wav,ō,9,Lime,3477
KLH032b_0060.wav,e,2,Blue,3478
KLH032b_0061.wav,o,4,Green,3479
KLH032b_0062.wav,au,14,Maroon,3480
KLH032b_0063.wav,a,1,Red,3481
KLH032b_0064.wav,ū,10,Purple,3482
KLH032b_0065.wav,a,1,Red,3483
KLH032b_0066.wav,a,1,Red,3484
KLH032b_0067.wav,o,4,Green,3485
KLH032b_0068.wav,a,1,Red,3486
KLH032b_0069.wav,o,4,Green,3487
KLH032b_0070.wav,e,2,Blue,3488
KLH032b_0071.wav,i,3,Black,3489
KLH032b_0072.wav,a,1,Red,3490
KLH032b_0073.wav,u,5,Olive,3491
KLH032b_0074.wav,e,2,Blue,3492
KLH032b_0075.wav,a,1,Red,3493
KLH032b_0076.wav,au,14,Maroon,3494
KLH032b_0077.wav,a,1,Red,3495
KLH032b_0078.wav,a,1,Red,3496
KLH032c_0001.wav,o,4,Green,3497
KLH032c_0002.wav,o,4,Green,3498
KLH032c_0003.wav,a,1,Red,3499
KLH032c_0004.wav,o,4,Green,3500
KLH032c_0005.wav,o,4,Green,3501
KLH032c_0006.wav,a,1,Red,3502
KLH032c_0007.wav,a,1,Red,3503
KLH032c_0008.wav,o,4,Green,3504
KLH032c_0009.wav,o,4,Green,3505
KLH032c_0010.wav,a,1,Red,3506
KLH032c_0011.wav,i,3,Black,3507
KLH032c_0012.wav,a,1,Red,3508
KLH032c_0013.wav,āi,15,Grey,3509
KLH032c_0014.wav,a,1,Red,3510
KLH032c_0015.wav,au,14,Maroon,3511
KLH032c_0016.wav,ā,6,Yellow,3512
KLH032c_0017.wav,a,1,Red,3513
KLH032d_0001.wav,a,1,Red,3514
KLH032d_0002.wav,a,1,Red,3515
KLH032d_0003.wav,āi,15,Grey,3516
KLH032d_0004.wav,a,1,Red,3517
