"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,320,167,2041,220,2983,2143,6200
0.027,323,196,2020,225,2923,1764,6200
0.029,326,225,1998,230,2869,1524,6200
0.031,330,250,1978,232,2828,1393,6200
0.033,335,274,1958,233,2800,1343,6200
0.035,341,296,1940,232,2789,1372,6200
0.037,348,316,1925,231,2788,1483,6200
0.039,356,336,1913,231,2793,1687,6200
0.041,364,357,1903,233,2795,1991,6200
0.043,372,383,1893,237,2789,2458,6200
0.045,380,415,1884,245,2766,3169,6200
0.047,388,452,1872,259,2720,4352,6200
0.049,397,493,1856,285,2553,7237,6200
0.051,403,525,1832,326,3053,297,6200
0.053,407,546,1796,391,3065,362,6200
0.055,406,554,1741,474,3080,456,6200
0.057,402,558,1665,550,3094,572,6200
0.059,396,561,1577,586,3094,700,6200
0.061,391,562,1499,574,3068,810,6200
0.063,385,561,1434,534,3018,861,6200
0.065,383,557,1384,482,2986,840,6200
0.067,383,548,1347,426,2977,806,6200
0.069,386,535,1319,375,2983,775,6200
0.071,394,518,1298,330,2998,743,6200
0.073,404,496,1281,291,3016,706,6200
0.075,418,472,1267,257,3030,664,6200
0.077,433,447,1254,230,3034,625,6200
0.079,450,421,1243,209,3029,596,6200
0.081,467,396,1233,192,3017,580,6200
0.083,483,371,1223,177,2999,573,6200
0.085,498,349,1213,165,2976,576,6200
0.087,510,328,1203,153,2949,583,6200
0.089,519,310,1194,144,2922,594,6200
0.091,522,296,1185,136,2895,604,6200
0.093,522,281,1175,130,2868,612,6200
0.095,519,267,1166,125,2843,615,6200
0.097,516,251,1156,123,2822,610,6200
0.099,515,234,1145,124,2807,601,6200
0.101,516,219,1134,129,2797,592,6200
0.103,520,205,1122,136,2791,580,6200
0.105,525,193,1110,146,2788,570,6200
0.107,530,184,1099,157,2786,562,6200
0.109,533,177,1088,168,2785,555,6200
0.111,535,171,1078,177,2784,549,6200
0.113,535,167,1070,184,2783,544,6200
0.115,533,162,1062,186,2787,539,6200
0.117,529,159,1055,185,2794,537,6200
0.119,524,155,1049,182,2805,535,6200
0.121,520,152,1045,178,2817,536,6200
0.123,517,149,1041,171,2836,540,6200
0.125,515,147,1037,165,2854,546,6200
0.127,514,145,1034,160,2870,553,6200
0.129,515,143,1030,157,2884,559,6200
0.131,518,142,1026,157,2893,559,6200
0.133,521,140,1021,160,2896,552,6200
0.135,523,140,1015,167,2895,539,6200
0.137,525,142,1009,177,2888,521,6200
0.139,526,148,1004,192,2879,506,6200
0.141,526,157,998,210,2871,496,6200
0.143,523,174,994,233,2866,496,6200
0.145,520,197,990,261,2865,510,6200
0.147,516,229,986,292,2874,533,6200
0.149,513,269,982,326,2889,567,6200
0.151,510,317,978,364,2907,608,6200
0.153,507,374,972,393,2934,637,6200
0.155,503,442,965,417,2957,650,6200
