"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,435,233,1986,117,3198,1394,6200
0.027,433,252,1995,110,3124,1282,6200
0.029,433,268,2001,105,3077,1200,6200
0.031,436,283,2006,102,3049,1148,6200
0.033,439,297,2011,101,3030,1117,6200
0.035,443,310,2016,101,3019,1105,6200
0.037,445,324,2023,104,3012,1106,6200
0.039,445,341,2032,110,3006,1117,6200
0.041,441,361,2044,120,2998,1130,6200
0.043,429,384,2063,138,2983,1133,6200
0.045,409,403,2090,163,2959,1109,6200
0.047,384,402,2127,191,2935,1043,6200
0.049,362,372,2168,210,2925,936,6200
0.051,348,329,2202,211,2932,802,6200
0.053,339,287,2227,200,2943,654,6200
0.055,334,258,2240,186,2948,535,6200
0.057,330,237,2248,174,2950,456,6200
0.059,328,220,2251,168,2950,408,6200
0.061,327,204,2253,165,2949,376,6200
0.063,325,189,2254,168,2949,359,6200
