"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,325,178,917,592,3140,845,6067
0.027,336,180,930,589,3123,838,6067
0.029,347,178,939,587,3097,829,6067
0.031,357,173,946,583,3067,814,6067
0.033,365,166,952,579,3036,794,6067
0.035,372,158,954,580,3002,774,6067
0.037,380,149,962,560,2976,744,6067
0.039,386,140,967,546,2955,721,6067
0.041,392,131,971,530,2942,703,6067
0.043,397,123,976,510,2938,691,6067
0.045,401,114,981,487,2942,680,6067
0.047,405,107,984,465,2950,668,6067
0.049,407,101,986,456,2959,652,6067
0.051,409,94,987,434,2963,624,6067
0.053,409,90,984,441,2961,602,6067
0.055,409,86,980,437,2953,565,6067
0.057,407,84,972,450,2942,539,6067
0.059,404,84,958,491,2932,533,6067
0.061,401,81,947,488,2923,506,6067
0.063,396,82,929,514,2918,507,6067
0.065,389,84,900,575,2919,542,6067
0.067,383,82,888,531,2930,512,6067
0.069,376,81,864,532,2942,526,6067
0.071,368,80,837,528,2956,550,6067
0.073,360,78,809,525,2962,599,6067
0.075,353,75,794,495,2979,626,6067
0.077,347,73,782,472,2992,662,6067
0.079,343,71,773,450,3004,699,6067
0.081,340,70,766,437,3008,740,6067
0.083,338,70,760,431,3007,772,6067
0.085,338,72,753,442,2980,837,6067
0.087,337,74,745,429,2985,801,6067
0.089,337,77,736,427,2973,782,6067
0.091,337,82,727,428,2952,764,6067
0.093,337,87,719,424,2946,728,6067
0.095,336,93,711,420,2940,698,6067
0.097,333,100,704,421,2940,684,6067
0.099,331,107,700,430,2942,696,6067
0.101,325,110,698,413,2966,668,6067
0.103,319,113,699,410,2984,681,6067
0.105,311,114,701,409,2999,710,6067
0.107,303,113,703,413,3006,754,6067
0.109,294,109,702,410,3009,794,6067
0.111,285,106,697,415,3000,844,6067
0.113,278,105,689,442,2967,910,6067
0.115,270,101,674,442,2968,912,6067
0.117,265,101,656,462,2962,912,6067
0.119,262,104,634,492,2962,901,6067
0.121,262,113,611,564,2951,908,6067
0.123,260,116,591,569,2980,850,6067
0.125,261,124,574,621,2986,825,6067
0.127,261,131,563,679,2986,806,6067
0.129,260,135,564,740,2975,800,6067
0.131,256,138,582,775,2955,794,6067
0.133,251,140,613,810,2926,793,6067
0.135,244,138,659,798,2895,771,6067
0.137,238,138,703,796,2866,745,6067
0.139,232,140,744,803,2841,715,6067
0.141,226,145,782,825,2824,686,6067
0.143,221,152,814,872,2814,664,6067
