"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,382,163,697,548,2790,1845,6156
0.027,395,177,704,529,2883,2490,6156
0.029,406,191,711,507,2889,3754,6156
0.031,419,211,715,508,2626,5813,6156
0.033,431,232,717,512,3227,785,6156
0.035,444,257,716,512,3226,749,6156
0.037,455,281,715,508,3233,712,6156
0.039,462,304,713,493,3240,682,6156
0.041,462,325,711,462,3245,659,6156
0.043,458,339,715,428,3247,629,6156
0.045,447,343,720,390,3241,609,6156
0.047,432,336,727,352,3229,596,6156
0.049,417,323,733,319,3212,588,6156
0.051,402,303,738,290,3188,590,6156
0.053,390,283,744,267,3163,577,6156
0.055,379,263,747,248,3137,574,6156
0.057,369,245,747,235,3103,600,6156
0.059,362,227,749,222,3087,581,6156
0.061,355,212,748,213,3069,599,6156
0.063,348,200,747,206,3059,631,6156
0.065,342,189,745,200,3055,694,6156
0.067,336,180,743,195,3064,786,6156
0.069,331,173,741,192,3074,942,6156
0.071,326,171,740,193,3040,1202,6156
0.073,322,171,740,197,2890,1323,6156
0.075,318,174,740,205,2799,1254,6156
0.077,316,191,741,232,2727,1137,6156
0.079,311,198,740,245,2722,1064,6156
0.081,309,220,738,280,2708,996,6156
0.083,308,253,732,331,2702,946,6156
