"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,276,18,2290,203,3043,536,5978
0.027,277,17,2297,215,3019,497,5978
0.029,278,16,2310,234,2999,466,5978
0.031,277,16,2329,262,2983,443,5978
0.033,277,15,2358,294,2969,429,5978
0.035,276,15,2397,327,2959,431,5978
0.037,276,15,2445,352,2951,458,5978
0.039,275,14,2502,356,2951,527,5978
0.041,274,14,2555,324,2975,648,5978
0.043,274,14,2589,273,3043,805,5978
0.045,273,14,2604,229,3161,907,5978
0.047,273,15,2611,203,3301,887,5978
0.049,273,15,2609,187,3355,796,5978
0.051,273,16,2609,181,3385,716,5978
0.053,273,17,2606,183,3393,667,5978
0.055,274,19,2603,189,3391,639,5978
0.057,275,20,2599,198,3386,622,5978
0.059,276,22,2597,208,3390,613,5978
0.061,278,23,2596,215,3401,610,5978
0.063,279,25,2597,218,3422,611,5978
0.065,281,27,2601,216,3453,614,5978
0.067,282,30,2608,207,3490,614,5978
0.069,282,32,2613,194,3526,623,5978
0.071,283,34,2619,179,3557,639,5978
0.073,284,37,2623,166,3584,662,5978
0.075,285,41,2627,154,3606,697,5978
0.077,286,45,2630,146,3620,740,5978
0.079,287,49,2633,137,3620,796,5978
0.081,289,54,2636,129,3608,9994,5978
0.083,292,59,2638,123,3467,7575,5978
0.085,294,64,2639,118,3572,6760,5978
0.087,296,69,2640,114,3554,1124,5978
0.089,299,73,2641,111,3542,1201,5978
0.091,300,77,2641,110,3545,1264,5978
0.093,302,80,2641,109,3574,1314,5978
0.095,303,84,2642,111,3631,1330,5978
0.097,302,87,2644,115,3530,5830,5978
0.099,302,90,2646,120,3386,6220,5978
0.101,301,92,2651,127,3182,7293,5978
0.103,300,94,2656,137,3839,943,5978
0.105,297,97,2662,152,3833,831,5978
0.107,294,98,2668,167,3812,730,5978
0.109,290,99,2674,181,3785,644,5978
0.111,286,99,2678,190,3759,577,5978
0.113,280,98,2680,196,3735,525,5978
0.115,275,96,2681,193,3709,484,5978
0.117,268,93,2681,188,3680,451,5978
