"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,293,39,1000,237,2133,1505,5978
0.027,294,47,1010,238,2119,1437,5978
0.029,295,57,1022,244,2119,1397,5978
0.031,296,67,1035,255,2130,1393,5978
0.033,296,78,1052,270,2146,1415,5978
0.035,296,89,1068,286,2158,1435,5978
0.037,297,100,1086,304,2164,1462,5978
0.039,297,113,1105,329,2158,1473,5978
0.041,298,127,1127,362,2131,1477,5978
0.043,300,142,1153,406,2081,1463,5978
0.045,301,160,1184,462,2010,1440,5978
0.047,303,178,1226,535,1919,1421,5978
0.049,305,197,1287,625,1798,1413,5978
0.051,307,215,1393,701,1630,1445,5978
0.053,309,230,1443,1673,1512,607,5978
0.055,311,241,1321,1943,1561,484,5978
0.057,312,249,1217,2188,1586,398,5978
0.059,314,253,1119,2413,1601,337,5978
0.061,314,254,1024,2620,1611,294,5978
0.063,315,251,928,2825,1619,262,5978
0.065,315,244,843,3017,1624,239,5978
0.067,314,234,785,3189,1628,225,5978
0.069,313,223,767,3334,1629,217,5978
0.071,311,211,792,3457,1629,216,5978
0.073,309,201,841,3584,1626,221,5978
0.075,307,192,894,3753,1621,232,5978
0.077,305,185,939,3984,1612,248,5978
0.079,303,180,951,4359,1600,268,5978
0.081,301,175,911,4958,1585,291,5978
0.083,299,170,738,5954,1567,316,5978
0.085,296,162,1544,346,3026,372,5978
0.087,292,152,1514,378,3022,409,5978
0.089,288,140,1478,407,3030,479,5978
0.091,284,129,1443,423,3049,594,5978
