"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,392,2645,526,141,2834,2342,6200
0.027,524,130,657,2130,2823,2302,6200
0.029,523,120,737,1826,2793,2173,6200
0.031,523,113,770,1631,2765,2014,6200
0.033,523,108,788,1473,2751,1850,6200
0.035,523,104,800,1345,2745,1717,6200
0.037,523,102,808,1241,2748,1625,6200
0.039,523,102,815,1152,2760,1573,6200
0.041,523,104,822,1071,2783,1555,6200
0.043,523,107,828,985,2823,1551,6200
0.045,523,112,836,893,2884,1546,6200
0.047,523,119,842,796,2966,1501,6200
0.049,522,127,847,697,3058,1353,6200
0.051,522,134,850,609,3095,1055,6200
0.053,522,139,853,529,3030,818,6200
0.055,524,142,855,468,2965,686,6200
0.057,527,142,857,428,2912,592,6200
0.059,533,140,860,410,2873,518,6200
0.061,540,135,864,416,2845,463,6200
0.063,549,128,869,447,2825,416,6200
0.065,558,120,878,506,2811,383,6200
0.067,566,110,889,590,2801,359,6200
0.069,572,99,905,702,2796,350,6200
0.071,576,90,926,831,2795,353,6200
0.073,577,82,953,982,2799,368,6200
0.075,578,77,986,1138,2808,394,6200
0.077,577,74,1024,1291,2824,429,6200
0.079,576,73,1068,1434,2850,468,6200
0.081,575,74,1113,1563,2886,505,6200
0.083,574,76,1163,1695,2934,531,6200
