"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,473,115,2010,338,3449,581,6111
0.027,478,119,2004,375,3480,711,6111
0.029,483,123,2001,423,3044,4679,6111
0.031,486,128,2001,477,2660,3592,6111
0.033,488,134,2009,545,2386,2926,6111
0.035,489,142,2027,615,2198,2546,6111
0.037,490,151,2030,2317,2061,682,6111
0.039,491,162,1866,2216,2107,716,6111
0.041,491,175,1696,2243,2151,714,6111
0.043,491,191,1516,2389,2180,698,6111
0.045,490,210,1256,2649,2200,689,6111
0.047,487,233,575,2877,2215,692,6111
0.049,481,261,547,1415,2225,713,6111
0.051,470,292,611,1077,2234,759,6111
0.053,451,318,651,876,2239,818,6111
0.055,427,330,687,745,2243,901,6111
0.057,406,328,713,665,2244,993,6111
0.059,387,321,734,611,2245,1100,6111
0.061,371,312,750,572,2252,1195,6111
0.063,356,302,762,538,2273,1274,6111
0.065,341,289,771,507,2316,1332,6111
0.067,328,275,777,478,2388,1342,6111
0.069,315,261,780,451,2481,1274,6111
0.071,304,248,780,430,2569,1138,6111
0.073,294,240,777,418,2632,956,6111
0.075,286,238,770,414,2664,807,6111
0.077,279,240,760,414,2689,696,6111
0.079,274,249,748,419,2712,624,6111
0.081,268,262,734,423,2735,583,6111
0.083,262,277,721,420,2761,559,6111
