"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,200,398,665,554,2666,618,5800
0.027,220,330,680,484,2670,587,5800
0.029,230,288,689,436,2671,580,5800
0.031,235,258,694,399,2672,584,5800
0.033,238,244,694,384,2673,605,5800
0.035,240,242,692,387,2673,638,5800
0.037,241,250,685,409,2677,678,5800
0.039,242,267,671,450,2685,721,5800
0.041,245,292,647,508,2702,766,5800
0.043,250,319,614,575,2726,805,5800
0.045,259,339,577,642,2759,830,5800
0.047,270,347,545,706,2793,833,5800
0.049,281,343,526,775,2819,821,5800
0.051,286,331,522,829,2829,800,5800
0.053,289,321,525,883,2827,799,5800
0.055,290,314,532,930,2814,815,5800
0.057,288,313,542,965,2789,842,5800
0.059,284,317,551,992,2753,873,5800
0.061,273,323,572,973,2704,875,5800
0.063,256,326,597,940,2656,850,5800
0.065,238,316,628,894,2617,803,5800
0.067,224,291,656,847,2588,747,5800
0.069,217,264,674,810,2570,699,5800
0.071,214,240,683,790,2560,665,5800
0.073,214,226,685,795,2554,648,5800
0.075,216,218,685,825,2551,648,5800
0.077,217,217,686,886,2551,668,5800
0.079,218,221,694,983,2550,710,5800
