"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,157,344,1675,244,2667,862,5800
0.027,162,318,1668,248,2666,877,5800
0.029,169,287,1661,249,2672,880,5800
0.031,176,254,1655,244,2687,863,5800
0.033,181,223,1653,234,2704,832,5800
0.035,185,198,1654,220,2722,797,5800
0.037,188,180,1660,206,2737,767,5800
0.039,190,166,1668,193,2747,751,5800
0.041,192,158,1677,185,2752,750,5800
0.043,195,155,1686,183,2750,772,5800
0.045,198,156,1694,186,2745,816,5800
0.047,201,160,1700,196,2734,890,5800
0.049,206,164,1702,213,2715,1006,5800
0.051,212,167,1700,237,2683,1184,5800
0.053,219,166,1690,266,2619,1456,5800
0.055,227,163,1675,297,2397,1737,5800
0.057,236,157,1656,319,2224,1622,5800
0.059,245,151,1640,327,2153,1539,5800
0.061,255,145,1633,324,2104,1526,5800
0.063,263,141,1636,316,2050,1544,5800
0.065,270,138,1646,306,1985,1556,5800
0.067,277,136,1659,296,1918,1563,5800
0.069,282,135,1671,286,1859,1575,5800
0.071,286,136,1681,278,1805,1602,5800
0.073,289,138,1687,274,1766,1654,5800
0.075,292,140,1688,274,1740,1738,5800
0.077,293,141,1685,280,1726,1860,5800
0.079,294,141,1679,293,1723,2015,5800
0.081,295,140,1670,313,1727,2190,5800
0.083,296,137,1656,342,1740,2339,5800
0.085,296,134,1635,379,1768,2413,5800
0.087,296,130,1603,421,1821,2378,5800
0.089,296,125,1555,457,1901,2238,5800
0.091,295,121,1493,461,1998,2064,5800
0.093,295,117,1437,425,2078,1951,5800
0.095,295,116,1397,374,2133,1913,5800
0.097,295,116,1373,324,2172,1954,5800
0.099,296,121,1359,283,2225,2072,5800
0.101,297,132,1354,252,2286,2393,5800
0.103,298,149,1352,234,2375,2932,5800
0.105,301,180,1352,228,2512,4342,5800
0.107,305,236,1351,236,2812,836,5800
0.109,314,346,1350,262,2821,788,5800
0.111,361,646,1347,314,2848,760,5800
0.113,606,712,1349,396,2891,761,5800
0.115,725,559,1361,492,2942,760,5800
0.117,780,440,1384,593,3003,765,5800
0.119,806,362,1412,681,3067,762,5800
0.121,818,314,1435,754,3133,738,5800
