"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,399,94,2475,103,3696,320,6022
0.027,406,85,2470,99,3687,308,6022
0.029,411,78,2466,97,3679,301,6022
0.031,416,70,2462,95,3674,299,6022
0.033,421,64,2458,95,3671,300,6022
0.035,425,58,2453,96,3669,307,6022
0.037,429,53,2446,98,3670,322,6022
0.039,432,49,2437,101,3675,344,6022
0.041,435,47,2425,106,3683,375,6022
0.043,437,46,2409,110,3697,413,6022
0.045,438,46,2390,112,3718,454,6022
0.047,438,48,2369,110,3748,485,6022
0.049,438,52,2350,104,3784,495,6022
0.051,437,58,2334,95,3822,480,6022
0.053,435,65,2323,87,3855,446,6022
0.055,431,73,2314,79,3881,405,6022
0.057,425,82,2307,74,3901,365,6022
0.059,418,89,2302,69,3913,331,6022
0.061,410,94,2298,66,3921,304,6022
0.063,403,98,2296,63,3925,285,6022
0.065,396,100,2296,61,3927,273,6022
0.067,389,101,2298,60,3927,266,6022
0.069,383,103,2302,60,3928,265,6022
0.071,377,104,2309,58,3929,265,6022
0.073,371,105,2317,57,3931,270,6022
0.075,365,107,2325,56,3934,278,6022
0.077,359,108,2333,56,3939,289,6022
0.079,354,109,2340,57,3945,302,6022
