"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,626,41,1270,406,2767,272,6200
0.027,624,38,1271,427,2774,282,6200
0.029,623,36,1274,453,2782,294,6200
0.031,621,35,1276,479,2788,306,6200
0.033,620,35,1281,508,2795,317,6200
0.035,618,34,1285,538,2799,325,6200
0.037,616,35,1289,566,2801,327,6200
0.039,614,35,1291,592,2802,323,6200
0.041,613,36,1291,615,2802,317,6200
0.043,611,38,1287,635,2802,307,6200
0.045,610,39,1279,652,2803,297,6200
0.047,609,41,1266,666,2805,286,6200
0.049,608,43,1250,674,2810,275,6200
0.051,608,46,1230,679,2816,265,6200
0.053,607,51,1207,681,2824,254,6200
0.055,606,56,1183,680,2834,244,6200
0.057,605,64,1158,679,2845,236,6200
0.059,605,73,1135,680,2856,230,6200
0.061,603,83,1114,683,2866,227,6200
0.063,602,94,1093,688,2875,226,6200
0.065,600,105,1075,695,2883,228,6200
0.067,597,115,1058,703,2891,233,6200
0.069,594,123,1045,715,2898,239,6200
0.071,590,129,1034,730,2904,245,6200
0.073,585,134,1026,749,2909,252,6200
0.075,580,137,1019,770,2914,258,6200
0.077,573,139,1017,790,2918,263,6200
0.079,564,141,1021,804,2921,268,6200
0.081,554,142,1030,802,2924,272,6200
0.083,542,142,1046,780,2926,279,6200
0.085,529,142,1069,734,2929,290,6200
0.087,516,142,1091,671,2933,304,6200
0.089,504,142,1111,603,2938,324,6200
0.091,495,144,1127,545,2944,350,6200
0.093,486,148,1140,502,2955,385,6200
0.095,480,155,1150,478,2971,428,6200
0.097,477,167,1161,477,2998,477,6200
0.099,475,184,1174,498,3035,532,6200
0.101,474,205,1187,537,3080,579,6200
