"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,353,81,2499,533,2836,194,6200
0.027,356,80,2494,511,2838,187,6200
0.029,360,80,2491,490,2840,185,6200
0.031,363,80,2492,469,2843,186,6200
0.033,366,82,2492,450,2846,188,6200
0.035,369,85,2492,431,2850,192,6200
0.037,371,89,2491,416,2852,197,6200
0.039,374,94,2487,405,2854,202,6200
0.041,376,100,2483,398,2854,206,6200
0.043,377,107,2478,393,2853,212,6200
0.045,378,113,2471,392,2851,217,6200
0.047,379,120,2465,392,2848,223,6200
0.049,379,126,2460,393,2846,231,6200
0.051,379,130,2458,393,2844,239,6200
0.053,379,134,2458,392,2843,247,6200
0.055,379,137,2459,389,2845,253,6200
0.057,378,138,2460,386,2847,256,6200
0.059,378,138,2458,381,2851,253,6200
0.061,378,138,2454,374,2856,244,6200
0.063,377,137,2446,367,2861,231,6200
0.065,377,135,2436,358,2866,215,6200
0.067,376,134,2423,349,2871,197,6200
0.069,376,135,2408,343,2875,180,6200
0.071,375,136,2394,338,2879,164,6200
0.073,375,138,2378,336,2881,150,6200
0.075,375,143,2362,339,2882,139,6200
0.077,375,149,2347,347,2883,131,6200
0.079,375,157,2333,360,2884,127,6200
0.081,375,165,2321,377,2884,127,6200
0.083,375,175,2308,399,2884,130,6200
0.085,374,185,2295,424,2885,136,6200
0.087,371,195,2281,452,2884,145,6200
0.089,369,205,2263,481,2884,158,6200
0.091,365,214,2243,506,2883,171,6200
0.093,360,223,2218,530,2883,187,6200
0.095,355,232,2187,546,2882,201,6200
0.097,350,241,2151,555,2881,214,6200
0.099,345,252,2108,554,2879,222,6200
0.101,340,263,2061,542,2876,226,6200
0.103,335,275,2006,516,2873,227,6200
0.105,330,286,1948,475,2870,224,6200
0.107,325,293,1893,422,2867,220,6200
0.109,321,296,1847,366,2865,219,6200
0.111,317,297,1813,317,2864,222,6200
0.113,314,298,1787,276,2868,232,6200
0.115,311,301,1769,247,2877,251,6200
0.117,307,308,1758,229,2893,279,6200
0.119,303,317,1751,220,2916,317,6200
0.121,298,328,1746,219,2946,359,6200
0.123,292,342,1743,226,2982,404,6200
0.125,284,360,1741,241,3022,446,6200
0.127,275,382,1737,267,3058,482,6200
0.129,262,411,1733,304,3085,513,6200
