"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,258,15,1163,1371,2100,431,6067
0.027,259,17,1169,1173,2108,436,6067
0.029,260,19,1175,1031,2115,462,6067
0.031,261,21,1179,936,2118,505,6067
0.033,262,23,1186,862,2120,567,6067
0.035,262,25,1197,813,2119,654,6067
0.037,263,28,1219,779,2124,784,6067
0.039,263,31,1241,749,2135,921,6067
0.041,264,35,1262,718,2159,1051,6067
0.043,264,39,1275,683,2202,1143,6067
0.045,263,43,1280,648,2255,1179,6067
0.047,262,47,1278,615,2312,1162,6067
0.049,261,51,1269,581,2360,1099,6067
0.051,259,54,1257,544,2400,1015,6067
0.053,257,57,1243,503,2427,916,6067
0.055,253,61,1230,461,2440,819,6067
0.057,249,65,1220,416,2444,731,6067
0.059,242,70,1216,373,2443,658,6067
0.061,235,76,1217,336,2439,605,6067
