"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,488,183,651,364,2349,1300,5800
0.027,477,203,646,336,2342,1260,5800
0.029,466,222,643,309,2347,1216,5800
0.031,454,236,640,275,2366,1165,5800
0.033,447,249,635,254,2382,1114,5800
0.035,445,260,627,236,2401,1071,5800
0.037,449,274,617,225,2417,1036,5800
0.039,451,275,612,210,2439,1008,5800
0.041,457,278,608,207,2449,990,5800
0.043,449,259,616,190,2481,979,5800
0.045,441,245,625,179,2503,972,5800
0.047,430,235,634,168,2525,968,5800
0.049,420,235,641,163,2537,971,5800
0.051,406,232,648,155,2558,965,5800
0.053,395,238,653,157,2571,959,5800
0.055,385,246,657,165,2588,954,5800
0.057,378,253,660,180,2609,953,5800
0.059,372,254,663,199,2638,956,5800
0.061,369,247,664,226,2675,971,5800
0.063,366,236,664,254,2714,999,5800
0.065,362,221,661,282,2760,1041,5800
0.067,358,209,657,314,2802,1126,5800
0.069,352,195,654,345,2844,1249,5800
0.071,346,180,653,387,2875,1424,5800
0.073,338,163,658,434,2903,1635,5800
0.075,330,144,672,499,2928,1935,5800
