"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,547,582,1911,330,2385,748,6200
0.027,560,611,1907,328,2399,793,6200
0.029,575,646,1897,326,2416,845,6200
0.031,593,682,1885,320,2435,899,6200
0.033,615,722,1871,309,2458,967,6200
0.035,638,760,1859,292,2483,1046,6200
0.037,661,805,1852,276,2510,1145,6200
0.039,685,860,1848,264,2540,1275,6200
0.041,710,921,1846,254,2577,1435,6200
0.043,740,994,1845,248,2628,1663,6200
0.045,778,1069,1844,245,2713,1991,6200
0.047,830,1133,1844,245,2910,2490,6200
0.049,896,1163,1843,246,3488,2724,6200
0.051,965,1139,1842,248,3799,2031,6200
0.053,1025,1065,1840,250,3793,302,6200
0.055,1063,981,1836,251,3778,329,6200
0.057,1087,912,1831,249,3760,337,6200
0.059,1104,867,1826,245,3746,326,6200
0.061,1117,847,1820,241,3739,306,6200
0.063,1133,850,1816,238,3736,284,6200
0.065,1153,875,1814,241,3734,263,6200
0.067,1181,913,1814,250,3733,243,6200
0.069,1219,959,1816,267,3731,223,6200
0.071,1267,991,1820,292,3728,206,6200
0.073,1323,990,1825,324,3722,191,6200
0.075,1372,945,1834,357,3716,181,6200
0.077,1403,876,1844,383,3707,177,6200
0.079,1416,810,1852,391,3697,178,6200
0.081,1417,765,1855,380,3685,181,6200
0.083,1411,736,1853,355,3671,184,6200
0.085,1400,721,1850,325,3657,183,6200
0.087,1388,715,1847,295,3646,178,6200
0.089,1375,716,1845,272,3638,171,6200
0.091,1365,725,1845,257,3634,165,6200
0.093,1357,744,1846,246,3632,160,6200
0.095,1352,774,1846,239,3632,155,6200
0.097,1351,817,1844,232,3635,152,6200
0.099,1354,873,1840,224,3639,151,6200
0.101,1361,938,1833,215,3643,152,6200
0.103,1373,1014,1824,205,3650,155,6200
0.105,1387,1092,1815,198,3658,163,6200
0.107,1405,1170,1806,194,3669,176,6200
0.109,1426,1248,1799,196,3684,197,6200
0.111,1449,1324,1794,202,3706,224,6200
0.113,1482,1406,1790,217,3742,251,6200
0.115,1530,1498,1787,242,3790,244,6200
0.117,1610,1591,1782,280,3821,199,6200
0.119,1741,1669,1770,329,3833,160,6200
0.121,1751,375,1916,1656,3834,136,6200
