"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,352,123,2020,333,3169,257,6156
0.027,346,120,2080,376,3170,257,6156
0.029,342,116,2154,424,3165,264,6156
0.031,338,112,2254,469,3162,276,6156
0.033,335,109,2366,483,3163,291,6156
0.035,334,104,2479,454,3170,310,6156
0.037,334,98,2574,394,3185,326,6156
0.039,335,92,2643,334,3204,339,6156
0.041,336,84,2696,279,3226,347,6156
0.043,337,75,2737,234,3250,351,6156
0.045,336,69,2769,205,3274,354,6156
0.047,336,63,2795,179,3298,352,6156
0.049,335,56,2817,159,3322,346,6156
0.051,334,51,2836,145,3347,338,6156
0.053,333,47,2852,135,3373,326,6156
0.055,332,40,2865,126,3395,305,6156
0.057,331,37,2877,124,3416,285,6156
0.059,329,34,2889,126,3434,267,6156
0.061,328,29,2901,128,3447,246,6156
0.063,327,28,2913,135,3459,232,6156
0.065,326,27,2924,144,3467,222,6156
0.067,326,24,2935,147,3473,208,6156
0.069,325,24,2943,152,3477,201,6156
0.071,325,25,2946,157,3481,198,6156
0.073,325,23,2945,154,3483,193,6156
0.075,325,22,2940,157,3486,196,6156
0.077,325,22,2934,158,3492,203,6156
0.079,325,20,2927,155,3501,208,6156
0.081,325,19,2920,155,3513,216,6156
0.083,325,19,2913,158,3527,223,6156
0.085,326,17,2908,152,3541,219,6156
0.087,326,17,2904,153,3552,216,6156
0.089,327,17,2900,155,3560,211,6156
0.091,327,16,2898,155,3564,204,6156
0.093,328,17,2896,160,3565,202,6156
0.095,329,16,2897,163,3562,201,6156
0.097,330,16,2899,166,3557,203,6156
0.099,331,17,2904,172,3549,209,6156
0.101,332,17,2910,173,3539,214,6156
0.103,334,17,2916,173,3529,220,6156
0.105,335,18,2923,175,3518,229,6156
0.107,337,18,2928,171,3506,235,6156
0.109,338,20,2933,169,3496,242,6156
0.111,340,22,2936,170,3486,254,6156
0.113,341,23,2938,167,3477,262,6156
0.115,343,25,2939,168,3470,275,6156
0.117,345,28,2937,171,3465,294,6156
0.119,348,30,2934,173,3459,314,6156
0.121,350,34,2928,177,3453,344,6156
0.123,354,38,2919,184,3443,382,6156
0.125,357,41,2909,192,3429,424,6156
