"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,435,251,2239,161,3442,942,6200
0.027,452,214,2248,169,3359,943,6200
0.029,462,184,2260,185,3282,901,6200
0.031,466,164,2274,208,3208,828,6200
0.033,465,152,2291,243,3138,725,6200
0.035,461,148,2311,284,3082,601,6200
0.037,456,154,2334,321,3048,479,6200
0.039,450,167,2362,341,3036,380,6200
0.041,443,186,2390,344,3036,314,6200
0.043,435,209,2416,343,3044,272,6200
0.045,425,231,2436,346,3054,253,6200
0.047,415,251,2451,357,3064,248,6200
0.049,405,272,2459,376,3072,252,6200
0.051,396,296,2462,396,3080,260,6200
0.053,389,325,2462,423,3087,273,6200
0.055,381,361,2459,453,3093,289,6200
0.057,374,400,2454,483,3098,311,6200
0.059,366,438,2450,513,3103,338,6200
0.061,358,471,2449,537,3107,370,6200
0.063,350,495,2453,554,3112,408,6200
0.065,341,505,2464,563,3118,444,6200
0.067,334,499,2483,563,3124,476,6200
0.069,328,476,2506,557,3130,501,6200
0.071,324,442,2530,547,3133,525,6200
0.073,322,400,2550,537,3127,554,6200
0.075,320,358,2558,529,3103,578,6200
0.077,318,321,2553,517,3064,561,6200
0.079,317,291,2544,498,3037,504,6200
0.081,316,271,2536,480,3025,447,6200
0.083,316,256,2532,469,3023,400,6200
0.085,318,247,2530,474,3025,364,6200
0.087,321,245,2527,493,3028,336,6200
0.089,326,251,2522,530,3033,313,6200
0.091,332,263,2514,576,3037,295,6200
0.093,340,281,2502,629,3042,277,6200
0.095,349,305,2489,679,3045,264,6200
0.097,358,332,2481,720,3046,255,6200
0.099,365,364,2483,755,3044,253,6200
0.101,369,397,2498,787,3038,258,6200
0.103,367,436,2529,822,3027,274,6200
0.105,361,474,2579,856,3013,299,6200
0.107,350,515,2649,881,2993,337,6200
0.109,338,557,2741,881,2966,390,6200
0.111,326,600,2863,840,2917,457,6200
0.113,315,652,2848,429,3009,859,6200
0.115,305,713,2817,385,3102,855,6200
