"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,393,341,424,837,2203,1496,5800
0.027,360,365,513,580,2260,1523,5800
0.029,333,320,575,456,2324,1639,5800
0.031,326,281,606,384,2406,1897,5800
0.033,326,256,623,339,2517,2320,5800
0.035,329,240,634,310,2614,2862,5800
0.037,332,228,641,288,2700,3409,5800
0.039,333,219,645,269,2778,3737,5800
0.041,333,211,645,252,2844,3533,5800
0.043,330,205,643,236,2896,3156,5800
0.045,327,201,639,222,2931,2518,5800
0.047,324,198,633,210,2799,1817,5800
0.049,321,198,626,202,2655,1567,5800
0.051,319,201,618,196,2584,1428,5800
0.053,317,208,610,194,2549,1349,5800
0.055,316,217,603,193,2543,1335,5800
0.057,316,230,596,194,2548,1348,5800
0.059,316,244,590,196,2562,1370,5800
0.061,317,258,585,198,2600,1410,5800
0.063,317,270,582,199,2639,1408,5800
0.065,317,279,580,201,2687,1404,5800
0.067,318,285,579,203,2728,1333,5800
0.069,318,283,579,202,2762,1221,5800
0.071,318,282,579,205,2749,1100,5800
0.073,317,270,582,202,2738,997,5800
0.075,317,263,584,201,2716,922,5800
0.077,316,265,584,205,2693,868,5800
0.079,313,260,586,203,2695,817,5800
0.081,311,266,585,207,2702,774,5800
0.083,308,283,582,214,2716,738,5800
0.085,304,313,575,228,2730,710,5800
0.087,299,362,565,247,2744,690,5800
0.089,288,418,554,263,2757,669,5800
0.091,261,557,529,282,2755,693,5800
