"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,506,62,1286,2055,3073,872,6200
0.027,503,61,1332,1982,3065,867,6200
0.029,502,63,1362,1920,3059,857,6200
0.031,501,68,1377,1902,3055,850,6200
0.033,502,75,1387,1934,3053,852,6200
0.035,503,83,1394,2034,3050,865,6200
0.037,505,88,1405,2213,3044,895,6200
0.039,507,88,1413,2487,3025,944,6200
0.041,508,84,1403,2935,2980,1009,6200
0.043,509,76,1322,3545,2901,1046,6200
0.045,509,68,1082,4184,2816,1012,6200
0.047,509,61,767,4486,2757,943,6200
0.049,509,56,683,4255,2727,876,6200
0.051,510,53,792,3776,2719,827,6200
0.053,510,52,883,3296,2726,786,6200
0.055,509,53,929,2910,2743,747,6200
0.057,509,55,928,2671,2761,705,6200
0.059,508,58,927,2521,2778,667,6200
0.061,506,62,928,2444,2789,635,6200
0.063,503,69,967,2359,2795,614,6200
0.065,499,77,1056,2201,2798,604,6200
0.067,492,87,1174,1943,2802,604,6200
0.069,482,97,1281,1632,2808,607,6200
0.071,471,107,1354,1348,2815,610,6200
0.073,459,116,1403,1104,2821,612,6200
0.075,447,126,1434,920,2826,614,6200
0.077,435,136,1453,784,2831,618,6200
