"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,760,688,1374,249,2936,1084,6200
0.027,823,583,1400,237,2970,1075,6200
0.029,876,513,1423,230,3040,954,6200
0.031,921,466,1443,225,3056,756,6200
0.033,962,430,1462,223,3041,623,6200
0.035,999,401,1479,223,3025,546,6200
0.037,1028,377,1495,225,3011,504,6200
0.039,1051,358,1508,228,2998,491,6200
0.041,1067,345,1520,234,2988,500,6200
0.043,1079,337,1531,242,2978,526,6200
0.045,1088,337,1541,252,2967,566,6200
0.047,1094,345,1550,262,2954,614,6200
0.049,1098,362,1558,269,2937,667,6200
0.051,1099,388,1565,273,2917,719,6200
0.053,1098,427,1570,271,2892,773,6200
0.055,1093,478,1574,264,2863,821,6200
0.057,1084,543,1577,254,2833,860,6200
0.059,1072,626,1579,242,2808,889,6200
0.061,1056,724,1580,231,2792,911,6200
0.063,1033,850,1581,220,2785,929,6200
0.065,999,1003,1581,208,2785,940,6200
0.067,943,1179,1580,195,2786,941,6200
0.069,858,1366,1579,182,2786,927,6200
0.071,738,1543,1578,169,2786,894,6200
0.073,558,1721,1577,158,2790,843,6200
0.075,235,1904,1575,149,2799,784,6200
