"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,520,133,1436,159,2821,227,6200
0.027,523,130,1448,165,2815,213,6200
0.029,527,127,1462,174,2810,202,6200
0.031,530,125,1479,187,2806,195,6200
0.033,533,123,1501,205,2802,192,6200
0.035,536,120,1530,226,2798,194,6200
0.037,539,115,1565,249,2797,201,6200
0.039,541,110,1608,272,2797,213,6200
0.041,543,104,1655,290,2800,228,6200
0.043,544,97,1708,301,2807,244,6200
0.045,544,91,1760,302,2816,256,6200
0.047,544,86,1806,298,2827,261,6200
0.049,542,83,1847,294,2837,257,6200
0.051,540,81,1881,294,2844,249,6200
0.053,538,80,1914,301,2849,240,6200
0.055,534,80,1947,315,2852,234,6200
0.057,531,81,1981,337,2855,233,6200
0.059,526,81,2018,366,2857,238,6200
0.061,521,81,2056,399,2860,250,6200
0.063,514,79,2098,437,2863,268,6200
0.065,508,76,2143,478,2867,294,6200
0.067,501,73,2189,522,2872,325,6200
0.069,494,68,2238,566,2880,362,6200
0.071,487,64,2285,606,2891,397,6200
0.073,480,60,2333,639,2907,426,6200
0.075,473,56,2378,665,2926,442,6200
0.077,466,52,2411,682,2947,432,6200
0.079,458,49,2439,695,2966,406,6200
0.081,451,47,2471,698,2981,378,6200
0.083,444,45,2518,667,2997,360,6200
0.085,436,44,2569,585,3017,355,6200
0.087,429,42,2612,455,3049,353,6200
0.089,421,41,2632,331,3086,330,6200
0.091,414,40,2638,243,3114,292,6200
0.093,407,40,2640,183,3133,256,6200
0.095,401,41,2641,147,3145,233,6200
0.097,394,43,2640,127,3155,222,6200
0.099,387,46,2639,117,3164,225,6200
0.101,380,48,2637,114,3175,238,6200
0.103,373,50,2635,117,3189,263,6200
0.105,366,52,2631,122,3208,298,6200
0.107,360,52,2626,128,3230,337,6200
0.109,356,52,2622,135,3258,375,6200
0.111,352,53,2618,140,3286,404,6200
0.113,350,55,2615,146,3315,424,6200
0.115,347,59,2615,153,3341,431,6200
