"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,429,22,2532,54,3220,1498,6067
0.027,427,24,2539,56,3244,1563,6067
0.029,424,27,2549,58,3279,1681,6067
0.031,420,30,2560,58,3329,1791,6067
0.033,414,34,2572,59,3403,1985,6067
0.035,407,38,2584,58,3505,2251,6067
0.037,398,41,2596,56,3646,2486,6067
0.039,389,43,2607,53,3695,685,6067
0.041,380,46,2617,51,3695,668,6067
0.043,372,47,2625,48,3700,645,6067
0.045,363,47,2630,46,3707,624,6067
0.047,356,48,2634,43,3711,596,6067
0.049,349,47,2636,42,3712,563,6067
0.051,342,47,2637,41,3712,529,6067
0.053,336,48,2637,41,3714,491,6067
0.055,332,45,2637,41,3714,454,6067
0.057,327,45,2637,43,3717,426,6067
0.059,324,45,2636,47,3721,409,6067
0.061,321,45,2637,53,3726,404,6067
0.063,318,45,2638,62,3731,410,6067
0.065,316,45,2641,74,3735,426,6067
0.067,315,44,2646,94,3738,454,6067
0.069,313,42,2655,117,3739,483,6067
0.071,312,39,2669,146,3739,513,6067
0.073,311,38,2686,179,3741,540,6067
0.075,309,34,2707,205,3740,545,6067
0.077,308,32,2723,225,3742,541,6067
0.079,307,30,2735,237,3744,524,6067
0.081,305,29,2739,250,3748,508,6067
0.083,304,28,2738,252,3752,483,6067
