"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,725,690,1808,227,3472,349,6156
0.027,731,636,1803,203,3473,359,6156
0.029,734,596,1800,184,3472,376,6156
0.031,734,565,1799,170,3471,397,6156
0.033,731,542,1799,161,3468,415,6156
0.035,727,521,1802,155,3465,427,6156
0.037,721,499,1805,152,3462,428,6156
0.039,715,477,1809,150,3462,418,6156
0.041,708,450,1814,149,3464,400,6156
0.043,700,421,1818,149,3470,376,6156
0.045,692,391,1823,149,3477,350,6156
0.047,682,361,1827,150,3488,322,6156
0.049,673,333,1831,150,3499,295,6156
0.051,662,307,1834,149,3509,270,6156
0.053,651,284,1835,149,3519,250,6156
0.055,637,266,1836,148,3526,234,6156
0.057,621,251,1836,147,3532,223,6156
0.059,602,240,1835,148,3537,218,6156
0.061,579,232,1834,151,3540,218,6156
0.063,551,225,1832,157,3543,222,6156
0.065,521,219,1831,167,3548,227,6156
