"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,483,92,2386,244,3115,752,6067
0.027,500,87,2388,243,3101,811,6067
0.029,516,83,2391,245,3076,911,6067
0.031,529,79,2395,249,3033,1050,6067
0.033,541,77,2401,250,2970,1226,6067
0.035,552,75,2410,243,2885,1425,6067
0.037,564,74,2417,227,2800,1641,6067
0.039,575,75,2421,207,2735,1872,6067
0.041,586,76,2422,186,2693,2137,6067
0.043,597,77,2420,168,2677,2469,6067
0.045,608,78,2416,153,2676,2903,6067
0.047,618,79,2411,142,2685,3445,6067
0.049,627,79,2405,135,2677,4072,6067
0.051,635,80,2401,133,2678,4709,6067
0.053,642,79,2398,135,2629,4647,6067
0.055,648,78,2400,143,2622,4093,6067
0.057,654,76,2405,157,2630,3375,6067
0.059,659,73,2415,179,2590,2568,6067
0.061,664,71,2426,203,2572,2020,6067
0.063,670,70,2436,230,2564,1606,6067
0.065,677,69,2441,261,2569,1294,6067
0.067,686,69,2439,291,2587,1057,6067
