"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,518,349,951,744,3122,810,6200
0.027,504,303,949,591,3121,675,6200
0.029,495,256,950,484,3122,586,6200
0.031,492,218,951,412,3124,532,6200
0.033,491,184,952,358,3129,497,6200
0.035,492,156,954,317,3134,476,6200
0.037,495,134,957,287,3136,470,6200
0.039,499,115,962,268,3133,478,6200
0.041,503,99,971,255,3114,492,6200
0.043,508,85,984,244,3076,499,6200
0.045,512,72,1001,234,3023,476,6200
0.047,516,62,1021,221,2971,415,6200
0.049,518,53,1041,206,2938,343,6200
0.051,519,48,1060,194,2921,284,6200
0.053,520,45,1077,183,2913,237,6200
0.055,520,43,1092,176,2909,201,6200
0.057,520,44,1104,172,2907,175,6200
0.059,520,45,1116,171,2906,156,6200
0.061,521,48,1126,172,2904,140,6200
0.063,522,52,1138,174,2903,129,6200
0.065,524,57,1150,178,2901,120,6200
0.067,527,63,1164,182,2900,115,6200
0.069,530,72,1180,186,2897,112,6200
0.071,534,82,1198,189,2895,112,6200
0.073,539,94,1221,189,2891,115,6200
0.075,543,109,1246,188,2888,120,6200
0.077,547,125,1272,183,2883,126,6200
0.079,549,142,1296,177,2878,132,6200
0.081,549,156,1317,170,2873,136,6200
0.083,548,168,1338,163,2868,141,6200
0.085,547,174,1359,157,2862,146,6200
0.087,544,173,1381,153,2854,155,6200
0.089,540,166,1408,150,2845,167,6200
0.091,537,154,1439,149,2832,182,6200
0.093,534,139,1477,148,2816,198,6200
0.095,530,124,1520,148,2799,207,6200
