"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,377,53,2752,91,3466,397,6200
0.027,376,47,2759,83,3477,367,6200
0.029,376,45,2765,75,3486,334,6200
0.031,377,43,2769,68,3495,305,6200
0.033,378,43,2772,61,3502,279,6200
0.035,380,44,2774,56,3513,261,6200
0.037,381,44,2776,51,3523,248,6200
0.039,381,45,2778,48,3538,244,6200
0.041,381,45,2780,46,3556,245,6200
0.043,381,44,2782,45,3580,251,6200
0.045,380,44,2784,46,3606,257,6200
0.047,379,44,2785,48,3629,261,6200
0.049,379,45,2787,51,3649,262,6200
0.051,378,46,2789,56,3662,261,6200
0.053,377,48,2792,63,3670,262,6200
0.055,376,50,2796,73,3673,266,6200
0.057,374,54,2801,86,3672,271,6200
0.059,371,58,2807,102,3668,277,6200
0.061,368,63,2813,121,3661,282,6200
0.063,364,70,2819,142,3654,281,6200
0.065,359,79,2824,162,3645,275,6200
0.067,354,90,2826,177,3636,265,6200
0.069,349,103,2827,186,3626,257,6200
0.071,344,118,2825,188,3615,252,6200
0.073,341,135,2822,183,3600,252,6200
0.075,339,153,2819,175,3583,252,6200
0.077,338,171,2816,166,3563,249,6200
0.079,339,189,2814,158,3543,242,6200
0.081,340,205,2813,152,3523,231,6200
0.083,342,222,2810,148,3504,215,6200
0.085,344,238,2806,147,3487,199,6200
0.087,346,253,2801,149,3473,184,6200
0.089,345,264,2793,152,3461,171,6200
0.091,343,271,2784,158,3452,161,6200
0.093,337,271,2772,165,3445,154,6200
0.095,330,266,2759,172,3439,149,6200
0.097,320,254,2744,178,3434,148,6200
0.099,310,238,2729,184,3429,149,6200
