"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,687,76,2433,249,2703,1217,6067
0.027,697,76,2426,266,2702,1014,6067
0.029,708,75,2415,282,2700,856,6067
0.031,719,73,2402,292,2698,746,6067
0.033,730,70,2388,300,2693,667,6067
0.035,740,67,2374,305,2687,612,6067
0.037,750,64,2361,307,2682,577,6067
0.039,758,62,2350,305,2680,562,6067
0.041,764,61,2342,300,2679,566,6067
0.043,770,60,2337,292,2681,582,6067
0.045,775,62,2335,284,2685,612,6067
0.047,779,64,2335,276,2691,651,6067
0.049,782,67,2337,272,2697,693,6067
0.051,785,71,2340,270,2703,735,6067
0.053,789,76,2344,274,2705,771,6067
0.055,792,81,2346,282,2703,794,6067
0.057,794,87,2346,295,2697,800,6067
0.059,797,92,2343,312,2685,787,6067
0.061,798,97,2335,330,2671,756,6067
0.063,799,101,2322,347,2657,713,6067
0.065,799,105,2306,361,2643,666,6067
0.067,798,109,2287,372,2629,623,6067
0.069,797,113,2269,379,2617,592,6067
0.071,795,117,2252,383,2607,571,6067
0.073,792,122,2235,385,2599,556,6067
0.075,788,127,2217,384,2594,543,6067
0.077,783,131,2199,379,2593,533,6067
0.079,777,134,2181,372,2592,523,6067
0.081,770,137,2166,361,2594,517,6067
0.083,761,138,2154,351,2596,515,6067
0.085,753,139,2146,341,2601,514,6067
0.087,743,139,2141,333,2609,512,6067
0.089,734,138,2137,324,2621,502,6067
0.091,725,135,2134,317,2636,483,6067
0.093,717,132,2131,311,2651,456,6067
0.095,709,127,2127,305,2667,424,6067
0.097,702,123,2122,298,2682,390,6067
0.099,695,119,2117,291,2695,360,6067
0.101,688,115,2110,284,2707,334,6067
0.103,681,112,2103,276,2717,313,6067
0.105,673,109,2096,268,2726,298,6067
0.107,666,107,2089,258,2733,287,6067
