"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,335,182,1885,315,3343,332,6200
0.027,349,233,1897,310,3370,317,6200
0.029,365,295,1913,300,3398,299,6200
0.031,381,367,1930,285,3423,279,6200
0.033,402,455,1947,265,3444,258,6200
0.035,429,552,1961,245,3461,239,6200
0.037,466,644,1972,227,3471,222,6200
0.039,506,706,1980,214,3477,207,6200
0.041,535,734,1985,203,3479,196,6200
0.043,551,749,1988,195,3478,186,6200
0.045,554,760,1989,187,3477,178,6200
0.047,549,772,1988,179,3475,172,6200
0.049,539,787,1986,170,3473,169,6200
0.051,524,803,1985,161,3473,170,6200
0.053,503,820,1983,151,3473,174,6200
0.055,472,830,1982,143,3476,184,6200
0.057,432,821,1983,135,3480,200,6200
0.059,390,773,1984,128,3486,221,6200
0.061,361,701,1985,123,3493,246,6200
0.063,345,630,1987,120,3503,275,6200
0.065,335,571,1988,118,3514,303,6200
0.067,330,521,1990,119,3527,329,6200
0.069,326,485,1990,124,3541,351,6200
0.071,324,460,1991,132,3553,368,6200
0.073,322,446,1991,146,3562,378,6200
