"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,722,689,1942,277,2541,506,6200
0.027,738,652,1945,266,2547,467,6200
0.029,752,623,1947,257,2550,435,6200
0.031,762,599,1950,250,2548,411,6200
0.033,770,577,1951,245,2543,393,6200
0.035,775,555,1951,241,2535,381,6200
0.037,779,536,1950,238,2528,374,6200
0.039,782,520,1948,236,2521,373,6200
0.041,786,508,1947,236,2516,378,6200
0.043,792,499,1947,236,2514,390,6200
0.045,799,495,1949,237,2517,409,6200
0.047,808,496,1954,239,2525,435,6200
0.049,819,501,1961,240,2538,466,6200
0.051,829,509,1971,241,2556,498,6200
0.053,839,517,1982,240,2578,529,6200
0.055,846,526,1994,238,2602,554,6200
0.057,849,537,2004,238,2624,570,6200
0.059,849,547,2013,241,2643,574,6200
0.061,844,559,2019,247,2657,571,6200
0.063,835,576,2025,259,2667,564,6200
0.065,825,599,2032,276,2677,562,6200
0.067,815,629,2041,301,2688,570,6200
0.069,809,668,2056,333,2705,595,6200
0.071,809,717,2080,369,2734,638,6200
0.073,820,778,2119,404,2784,696,6200
0.075,845,842,2171,421,2859,736,6200
