"time","f1","b1","f2","b2","f3","b3","maxformant"
0.025,499,161,2061,1680,2109,514,6200
0.027,509,181,1980,1510,2130,528,6200
0.029,521,200,1912,1396,2153,536,6200
0.031,534,219,1859,1345,2170,541,6200
0.033,551,239,1815,1340,2182,554,6200
0.035,573,255,1778,1347,2192,588,6200
0.037,596,263,1738,1304,2212,651,6200
0.039,616,259,1680,1172,2260,727,6200
0.041,628,246,1611,1008,2326,766,6200
0.043,635,228,1547,856,2391,767,6200
0.045,637,209,1500,741,2441,755,6200
0.047,638,193,1469,660,2481,747,6200
0.049,638,180,1449,608,2515,744,6200
0.051,638,170,1436,577,2547,743,6200
0.053,639,161,1428,561,2582,735,6200
0.055,639,155,1420,562,2616,707,6200
0.057,640,152,1412,586,2644,655,6200
0.059,642,152,1401,645,2659,585,6200
0.061,644,155,1384,748,2658,514,6200
0.063,649,161,1355,912,2646,449,6200
0.065,654,165,1314,1124,2629,401,6200
