filename	speaker	syll	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9
KLH016c_1589.wav	KLH016c		--undefined--	--undefined--	114.38419851705714	112.50857123216022	111.46166286797222	111.18835673370957	113.10186228226951	--undefined--	--undefined--
KLH016c_1590.wav	KLH016c		--undefined--	--undefined--	113.62508791683868	116.08235563385776	117.63823153279682	118.917093763799	115.73383910228016	--undefined--	--undefined--
KLH016c_1591.wav	KLH016c		--undefined--	--undefined--	111.65328360559168	116.20146571479775	117.33127309615341	--undefined--	76.09369946606293	--undefined--	--undefined--
KLH016c_1592.wav	KLH016c		--undefined--	--undefined--	--undefined--	--undefined--	129.34210885215083	133.7804131991206	137.50888495337813	--undefined--	--undefined--
KLH016c_1593.wav	KLH016c		--undefined--	--undefined--	136.08309643434362	134.21789787614617	132.25589577364414	129.69644830897977	123.91455380768043	--undefined--	--undefined--
KLH016c_1594.wav	KLH016c		--undefined--	--undefined--	121.22177595115225	116.89512838098787	115.11469651779628	114.67504666904074	114.7588201075034	--undefined--	--undefined--
KLH016c_1595.wav	KLH016c		--undefined--	--undefined--	112.5391937301724	113.2157722550042	113.81438024237553	113.8296876704075	111.60910991863156	--undefined--	--undefined--
KLH016c_1596.wav	KLH016c		--undefined--	--undefined--	112.07958904272355	108.66112534080105	107.97898239608496	107.62427613304763	111.92111547893248	--undefined--	--undefined--
KLH016c_1599.wav	KLH016c		--undefined--	--undefined--	116.25355582259556	116.6908960381381	115.6907273553321	113.71409308084515	112.46693246044687	--undefined--	--undefined--
KLH016c_1600.wav	KLH016c		--undefined--	--undefined--	120.81422340666649	117.6458252540976	118.36079384978805	117.26356568538183	116.05574137513977	--undefined--	--undefined--
KLH016c_1601.wav	KLH016c		--undefined--	--undefined--	117.25226893686771	111.90692573983503	109.39225122199453	106.89431925671208	108.39533249297766	--undefined--	--undefined--
KLH016c_1602.wav	KLH016c		--undefined--	159.68538656845462	159.69681575028636	150.24058871081363	132.78557799615217	108.63327609109596	108.92161854345461	118.72069921859901	--undefined--
KLH016c_1604.wav	KLH016c		--undefined--	--undefined--	114.03189498983761	114.89664620206456	115.28415120686631	115.52734699220291	114.2721933120644	--undefined--	--undefined--
KLH016c_1605.wav	KLH016c		--undefined--	--undefined--	113.57491215880836	113.1588228452735	112.5448383550847	114.0743912047845	117.118220087602	--undefined--	--undefined--
KLH016c_1606.wav	KLH016c		--undefined--	--undefined--	120.77370005851763	123.15035876240314	125.99690230168932	123.78482578283374	116.79945256395402	--undefined--	--undefined--
KLH016c_1607.wav	KLH016c		--undefined--	--undefined--	99.40898293529436	100.6886856945801	101.72437554806628	101.38554373532861	--undefined--	--undefined--	--undefined--
KLH016c_1608.wav	KLH016c		--undefined--	--undefined--	--undefined--	128.92871496867102	127.93654929803516	125.07675592385328	120.88309277680332	--undefined--	--undefined--
KLH016c_1609.wav	KLH016c		--undefined--	116.71330228871041	115.15108784603309	113.67944458323862	109.84529928189565	110.74217036159263	107.62297967709789	106.89610181053844	--undefined--
