filename	speaker	syll	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9
KLH032d_0203.wav	KLH032d		--undefined--	--undefined--	204.42202392139356	199.34601803989082	189.65548769235693	178.35645991876785	171.4949449327445	--undefined--	--undefined--
KLH032d_0204.wav	KLH032d		--undefined--	--undefined--	167.47366752237588	160.20100631491837	154.5242722137683	151.41455025225054	148.38926894638033	--undefined--	--undefined--
KLH032d_0205.wav	KLH032d		--undefined--	181.15800774029861	174.94389144224255	159.94803711687618	149.5915430489949	151.316488735759	154.73468599069216	157.0895389315509	--undefined--
KLH032d_0206.wav	KLH032d		--undefined--	--undefined--	146.43115747499377	145.03119729556516	142.95024426482422	141.77842738046917	141.41275829923137	--undefined--	--undefined--
KLH032d_0207.wav	KLH032d		--undefined--	--undefined--	138.97227723474495	137.5617766983607	134.94429251103938	131.85818383999114	129.85267733276058	--undefined--	--undefined--
KLH032d_0208.wav	KLH032d		--undefined--	--undefined--	128.15186826672277	127.42245661222896	126.29650311964717	124.16265348463727	121.8866425771072	--undefined--	--undefined--
KLH032d_0210.wav	KLH032d		--undefined--	--undefined--	154.3967149991312	134.69391404457284	64.5616535025467	65.63933167900011	64.30227744062928	62.69904889895722	--undefined--
KLH032d_0211.wav	KLH032d		--undefined--	197.18573166996046	193.9036338167964	195.72612293157212	199.25909571522746	201.60635033921068	207.81179341776743	--undefined--	--undefined--
KLH032d_0212.wav	KLH032d		--undefined--	--undefined--	--undefined--	--undefined--	208.77798143526053	220.99794494346767	225.76716368232061	--undefined--	--undefined--
KLH032d_0213.wav	KLH032d		--undefined--	--undefined--	259.00588836088843	253.9394752925571	249.55545794252126	246.66204319531172	238.46873593696859	--undefined--	--undefined--
KLH032d_0214.wav	KLH032d		--undefined--	--undefined--	171.11972154882068	168.68248091010886	163.0693290026346	--undefined--	--undefined--	--undefined--	--undefined--
KLH032d_0215.wav	KLH032d		--undefined--	--undefined--	--undefined--	150.271310093328	154.2598018265831	149.92555739795492	151.22679808966214	135.6396509025267	--undefined--
KLH032d_0216.wav	KLH032d		--undefined--	--undefined--	--undefined--	--undefined--	154.69560864359985	157.45404885459152	158.7677863340297	--undefined--	--undefined--
