a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
1239.4,1229.5,1224.8,1223.9,1227,1232.3,1238.6,1248.9,1259.5,1272.1,1285,1295.3,1313.1,1336.2,1363,1388.3,1421.3,1427.2,1480.6,1533.8
1127.5,1134.9,1137.3,1137.4,1135.9,1127.6,1128.4,1132.6,1138.2,1144.7,1151.3,1156.5,1160.4,1161.5,1156.1,1137.2,1198.1,1308,1374.2,1479.9
1762.6,1757.4,1798.2,1828.4,1787.8,1616.6,1872.4,1868.3,1872.2,1878.8,1886.5,1892.8,1898.3,1902.1,1901.9,1905.2,1910.3,1918.5,1927.8,1941.5
1101,1114,1137.3,1176.7,1206.8,1232.9,1247.2,1249.5,1254.3,1260.7,1280.8,1294,1293.3,1283.9,1275.1,1269.8,1266.9,1269.1,1272.1,1276.2
884.3,887,892.8,898.2,904.3,910.4,916.1,920.9,923.4,922.4,926.7,932.1,943.3,957.6,982.6,1057.6,1134.8,1244.1,1296.6,1302.9
917.9,986,1078,1127.9,1167.2,1175.9,1156.9,1071.9,1068,1090.7,1143.8,1275.9,1436.5,1649.7,1777.2,1805.8,1821.6,1801.2,1859.9,1855
1351,1351.8,1346.2,1341.3,1330,1332.1,1338.5,1343.5,1356.9,1370.7,1390.1,1413.2,1440.1,1477.3,1587.4,1808.3,1824,1760.4,1759.9,1882.1
1285.1,1279.3,1274.5,1273.1,1274.2,1276.4,1279.4,1283.1,1286.8,1289.5,1291.6,1293.7,1294.7,1293.5,1414.1,1444.3,1526.2,1700.4,1798.7,1805.1
1357,1365.9,1406.7,1419.7,1423.4,1427.2,1430.4,1432.3,1435.3,1456.7,1461.1,1463.9,1464.9,1465.1,1464.1,1465.5,1466.6,1467.9,1470.2,1471.7
1617.7,1589.7,1584.8,1587.4,1598.4,1611.2,1628.9,1647.1,1658.8,1676.8,1710.6,1742.5,1745.6,1749.7,1754.1,1758.6,1762.9,1766.8,1769.8,1772.1
1413.9,1412.9,1412.3,1412.8,1414.2,1401.6,1394.2,1403.3,1402.5,1391,1406.4,1418.8,1419.1,1419.5,1420.2,1420.4,1420.3,1419.1,1418.3,1416.8
