file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH057a_0081,285.3,1765.2,2333.3,-14.4,-24.8,117.4,-17.2,-15.6,26.5,-14.3,27,23.4,-11.4,-4.9,-6.3,-0.7,-14.4,14.6
KLH057a_0082,358.2,1598.5,2156.1,-16.8,66.6,21.5,10.3,-33.6,-93.6,-0.2,0.6,-35.6,-0.2,-27.9,21.7,-1.8,5.8,-11.3
KLH057a_0083,378.6,1269.5,2064.2,12.8,17.8,-38.1,2.5,8.8,64,-1.6,13.7,-50.1,-1.7,0.3,21.3,4.1,-6.4,-2.5
KLH057a_0084,338.1,871.3,2201,-1.4,72.5,77.5,-13,45.2,84.9,-7.7,31.5,109.6,-6.3,12.4,31.6,-4.7,0,20.4
KLH057a_0085,312.4,960.4,2179.5,6.4,-71.7,-4.5,22.8,-1.6,20.1,-5.3,-29.4,-27.5,-13.5,38.2,-12.8,-1.5,-20.1,26
KLH057a_0086,350.2,849.2,2118.6,-45.7,43.8,47.5,-34.1,19.4,53.8,-9.1,-8.9,68.4,-9.2,0.7,21.3,11.2,4.7,25.9
KLH057a_0087,523.1,1299.9,1983.5,28.8,-82.6,-37.4,-44.2,11.7,14.3,8.9,-4.1,-9.4,-2,24,20.2,3.2,20.2,-4.2
KLH057a_0088,336.1,1722.7,2238,22.5,11.1,-30.3,-23.9,9.5,-31,-13.3,-3.5,-2.5,9.1,-8.9,12.9,-30.6,-17.6,3.7
KLH057a_0089,415.8,1604.2,2191.4,-45.3,47.8,62.9,-26.6,-31.9,1.9,-26.2,18.9,9.9,-50.3,0.4,26.7,7.4,27.7,-9.5
KLH057a_0090,434.4,1136.3,2168.4,50.7,1.3,90.5,-34,-7.4,-94.9,23.3,2.8,49,1.6,0.2,-34.1,11.7,1.3,6.4
KLH057a_0091,465.7,1199.6,2263.8,-40.6,30.2,83.6,-31.6,17.7,-2,-8.5,22.4,-44.4,1.3,23.3,-14.8,1.3,13.2,1.3
KLH057a_0092,370.9,824.3,2226.6,9.5,-122,-58.7,-7.7,161.1,-7.3,6.6,-101.7,4.6,-13.4,32.3,32.9,6.4,-35.2,34.8
KLH057a_0093,528.3,1355.3,2138.5,87.4,-17.5,-47.1,-82.1,20.5,32.3,8.4,28.3,16.3,-49.7,-25.8,-7,-37.7,-60.8,-16.2
KLH057a_0094,484.3,1248.9,2308.4,2.8,39.6,36.7,-82.5,-34.1,3.6,-1,1.6,42.7,-16.1,23.1,25.7,-2.4,-13.6,5.1
KLH057a_0095,343,891.1,2144.8,-40.5,14.9,-35.2,-16.1,-13.2,-22.6,-22.8,16.5,6.9,-15.7,17.7,27.8,-0.9,11.5,18.8
KLH057a_0096,341.2,1154.5,2160.1,46.9,-148.3,116.1,-23.5,-324.6,-79.9,12.9,23.6,8.1,22.8,407.8,68.2,-5.7,-171.9,-64.1
KLH057a_0097,283.6,922.8,1959,55.7,-234.8,-199.6,1.3,99.7,66.7,-21.5,8.5,38.1,0.1,39.3,-8.6,0.7,-0.2,60.8
KLH057a_0098,361.8,1071.5,1849.4,4.2,-162.3,257.4,-27,0.8,-72,-3.1,-12.8,39.3,-7,-0.2,-10.6,-2,0.7,-9.4
KLH057a_0099,397.6,1444.9,2094.5,-4.1,75.1,19.3,-6.1,54.1,6.5,-4.1,106.6,2.7,-4.1,0.7,8.7,4.6,40.7,16.4
KLH057a_0100,502.3,1298.8,2052.6,58.6,-94.7,-63.7,-33.2,-16,-27.9,2.3,8.8,-20.2,-12.7,-2.9,-14.3,-0.2,6.6,-0.4
KLH057a_0101,351.6,1672.5,2191.2,32.6,20,27.6,-14,-122.3,-70.4,2.2,25.1,-5,-9.8,-44,9.3,-2.6,3.7,-42.5
KLH057a_0102,508.3,1062.8,2194.5,32.2,-100.6,-53.8,-97.5,-10.9,9.3,34.9,-41.9,-30.4,-24.5,-0.5,-20.7,32.5,-9.9,39.2
KLH057a_0103,356.4,1736.2,2266.7,40.2,-4.5,-51.1,-24.2,34.1,-1.1,4.8,-17.7,1.9,-8.4,-14.2,-15.8,7.2,8.6,4.3
KLH057a_0104,288.1,1763.1,2144.8,-10.8,-75.4,-132.1,13,-47.6,-132.5,4.8,-68.6,1.2,0.3,-32.5,-10,6.4,-53.1,47.4
KLH057a_0105,496.3,930.6,2209.8,-27.8,-55.6,-108.4,-73.8,-3.9,-28.5,10.6,-29,-16.7,-1.3,-39.5,-28.2,11.1,-14.1,-15.7
KLH057a_0106,410.2,984.8,2252.8,103.9,-25.3,-29,-47.4,-90.9,-94.5,-12.5,-52.7,-39.5,12.8,-20.9,-16,4.4,5.9,-10.8
KLH057a_0107,412.3,984.2,2215.7,-44.2,-29.6,-18.6,-0.1,-18.4,-6.3,33.2,-52.8,-6.1,-15.8,-9.8,-8.4,-1.5,10.8,-23.6
KLH057a_0108,305.9,1810.7,2426.6,-11.6,8.3,-102.8,-1.3,9.1,-98.2,-17.2,8.7,9.8,-4.1,15.3,3.2,-5.1,15.8,-25.1
KLH057a_0109,434.2,1298.5,2133.8,-8.4,26.8,-16.1,-24.9,37.7,-51.3,7.7,-42.1,-8.7,-10.4,54.3,12.3,2.9,15.3,25.4
KLH057a_0110,312.7,1748.6,2290,-35.3,-115.6,-136.5,-33.3,28,-30,-7.2,-30.9,39.4,3.6,7.1,41.5,-0.8,2.2,-28.1
KLH057a_0111,306.2,1918.6,2311.1,9.9,-35.9,87.3,-13.5,3.8,-8,5.7,-13.9,-2.9,-2,-0.6,14.4,3.5,4.5,7.1
KLH057a_0112,329.6,944.5,2179.1,10.6,32.5,9.7,-7.5,69.6,7.9,-2,-5.1,14.8,-7.4,36.8,-47,-2.8,-25.2,13.5
KLH057a_0113,445.6,1077.9,2143.5,23,-38.4,-31,-91.5,10.2,-2,10.1,4.8,-0.6,-13.9,13.2,-2.4,20.8,3.8,11.1
KLH057a_0114,415.6,1007.9,2171.8,-11.8,119,44.4,-19.6,-41,20.9,14.2,-6.7,55.6,-9.8,-0.3,-0.9,0.5,-14.7,-27.5
KLH057a_0115,416.2,1022.7,2166.4,-53.9,-12.5,9.9,-24.8,63,14.9,11.9,5.9,-14,20.5,11,3.8,-15.9,5.5,10.3
KLH057a_0116,270.2,1946.6,2426.7,23,-57.2,-184,4.6,-17.3,54.3,7,11.3,33,-0.7,-20.2,-16.1,3,7.3,26.5
KLH057a_0117,269.3,2002.7,2505.1,-16.9,-43.7,16.7,19.7,4.6,22.1,-2.6,3.6,50,7.7,19,64.5,-11.7,-16,1.4
KLH057a_0118,366.3,867.7,2201.5,-7.7,55.6,-66.9,-14.5,5.8,-51.8,-7.1,7.9,-13.8,-8,7.6,-16.4,-5.2,14.7,-12.6
KLH057a_0119,369.6,756.5,2197.3,12.3,33.8,80.6,-5.6,-19.4,5.1,3.1,3.2,2.6,-3.8,8,14.8,4.4,-4.9,-24.1
KLH057a_0120,518.9,885.6,2242.7,-85.1,-16.1,30.4,-55.2,-115.4,-3.5,33.1,-4.1,0.2,-10.5,-56.5,-14.3,15.5,-6.8,-3.7
KLH057a_0121,510.5,1019.9,2215.1,42.8,-105.1,11.5,-81.6,9.7,-32.5,6.7,-40,-1.4,-35.5,20,5.6,2.1,-13.7,11.9
KLH057a_0122,463.1,1430.9,1917.3,73.1,-156.1,-26.8,-11.8,50.7,52.2,-30.2,20.5,-43.8,-27.6,-24.7,-4.2,11.3,5.1,6
KLH057a_0123,285,1875.4,2322.3,39.6,-6.8,-54.3,-2.4,-46.7,-9.4,8.7,0.6,-28.6,11.8,13.6,-10.3,-10.3,6.8,29.7
KLH057a_0124,275.9,1812.2,2389.7,-21.2,35.9,108,0.7,-42.1,-70,-14.4,28.5,21.2,-2.7,-4.7,-5.8,-5.8,-7.1,-18.8
KLH057a_0125,376.5,1692.8,2230.6,96.2,-345,-173.7,23.4,-144.5,-34.2,-3.6,-68.6,12.4,3.1,-33.7,25.6,-13.7,-13.8,11.3
KLH057a_0126,311.3,1991.8,2427,-3,70.2,21.7,14.7,28,6.2,3.9,-50.1,6.6,3,-1.9,-18.5,-0.3,1.6,3.1
KLH057a_0127,300.5,938.9,2121.9,1,-129.7,57.8,-39.8,193.5,-55.4,-2.1,47.9,96.1,4.4,-0.4,7.3,-9.4,21.4,-38.2
KLH057a_0128,290.2,1604.3,2365.3,36.1,397.1,62,34.6,-181.2,-32.3,-14.1,-299.8,26.3,-22.7,12.5,-24.1,-19.7,121.4,-40.3
KLH057a_0129,301,1066.6,2266.8,47.6,-362,-60.3,-32.3,283.5,157,6.6,-68.9,-32.8,6.7,2.9,8,0.2,233.4,99.5
KLH057a_0130,362.9,1033.8,2053.7,-30,-103.8,190.5,-47.2,55.3,-30.6,13,43.3,-2.1,13,36.3,45.9,3.4,4.9,-45
KLH057a_0131,523,1267.5,2077.9,-35.4,-32.7,13.1,-81.4,-8.1,6.9,60.9,45.1,2.2,-66,-58,2.4,-14.2,26.1,16.8
KLH057a_0132,377,1497.6,2132.4,35.8,102.6,91.4,-13.8,-7.6,-16.8,-6.7,34.2,35.8,-16.7,12.2,3.9,-3.2,-0.5,-30.2
KLH057a_0133,324.1,1659,2192.7,58.4,-313.9,-165.6,-8.1,-112.1,-20,-20,-46.1,34.8,-34.1,-28.8,17.2,-6,7.6,5.6
KLH057a_0134,349.4,1234.2,2002.7,6,-170.8,42.9,-5.4,37.8,44.7,-14,-7.4,-10.1,-11.4,-13.3,-16.9,-6.6,-4.1,3.5
KLH057a_0135,322.9,1690.8,2200.5,8.5,-50.1,-40.1,12.2,-30.2,-87.8,19.2,-28.3,-32.4,-22,-4.6,-20.2,7.2,5.8,5.3
KLH057a_0136,379.9,1243.8,2072.2,2.4,-6,46.4,-7.1,225.9,38.2,-7.9,22.1,-6.6,-4.8,52.2,25.2,-6.7,28.1,-12.4
KLH057a_0137,363.7,1731.5,2266.6,-40.2,99.5,76.1,26.5,-54,-40.4,-9,31.5,-26.3,6.1,-13.6,1.2,0.2,13.4,7.7
KLH057a_0138,417.7,1225.5,2099,62.1,147,-44.4,-17.8,9.2,-26.9,-12.8,67.6,24.6,-3.1,5.9,9.8,3.6,23.6,24.4
KLH057a_0139,382.4,1017.4,2156.1,-10.5,-65.3,28.5,-8.2,8.5,-21.7,-21,-10.8,7.2,-15.8,21.2,17.2,-8.1,-12.5,-2
KLH057a_0140,344.9,1651,2135.3,2.8,-101.8,-17.5,19.8,-96.3,3,1.5,-11.2,27.4,7.1,-24.9,-30.3,-1.8,9.5,5.2
KLH057a_0141,402.5,1453.8,2119.2,15.4,-99.5,29.8,-12.5,57.5,-10.3,4.2,-13.7,1.2,7.8,-5.9,28.1,-7.3,-49.7,18.6
KLH057a_0142,315.6,1777.8,2287.4,-28.2,59.2,8.8,79.1,-86.5,-133,-1.5,44.2,22.3,3.9,-14.5,-38.7,-1.7,11.6,-5.7
KLH057a_0143,393.6,1097.5,2108.7,58.8,204.8,-48.1,1.5,107.5,-10.6,-3.6,9.4,-3.4,-9.4,24.6,10.3,-1.6,12,10.6
KLH057a_0144,271.3,1858.2,2499.8,52.3,-16.2,-33.5,-27.6,-17.2,-57.5,-23.6,23.7,40.3,-9.2,3.1,-63.6,-2.5,-4.4,23.3
KLH057a_0145,277.8,1844.2,2373.8,11,-48.3,-105.7,8.6,-2.8,22.8,-4.5,17.2,-30.2,1.4,-18.1,16,-3.2,0.5,-15
KLH057a_0146,268.2,1891.5,2310.3,3,159,152.5,3.8,-20,3,5.1,24,-22.3,3,-10.6,-5.2,1.5,14.4,21.4
KLH057a_0147,367.2,1652.7,2248.4,71.6,-369.4,-242.6,-24.2,-133.6,14.2,8.2,-51,41.5,-9.4,-4.4,26.3,-4.7,-20.8,-6.8
KLH057a_0148,367.1,1658.8,2265.3,-39.7,-14.5,162,19.7,-153.5,-111.3,-4.5,16.2,-3,-17.7,-33.3,28.7,6.2,16.2,1.9
KLH057a_0149,390.9,1099,2084.7,43.3,88.3,-53.3,-27.1,106.1,-11.5,13.5,31,-14.1,-1.5,19.4,-5.9,-8.7,1.4,-7.3
KLH057a_0150,372.2,1000.8,2050,32.5,110,-196.8,-32.1,31.8,-156,14.4,10.1,-106.7,-9.2,17.9,-75.2,3.8,4,-52.2
KLH057a_0151,287.1,1616.1,2223.6,-1.6,-50.3,-88.1,10.8,-121.5,-175.7,-3.8,-22.7,11,0.4,-30.8,6.4,-3.3,-16,3.5
KLH057a_0152,355.5,1801.5,2310.5,18.8,-95.2,-68.1,-15.4,3.8,-37.9,-5,-12.3,-10.3,-1.3,-14.8,-17.6,-0.1,8.4,13.8
KLH057a_0153,323.1,1687.1,2204.5,37.9,-247.6,-163.3,-32.2,-117.4,-51.4,-44.3,-71.3,23.2,-18.4,-38.2,-0.7,-14.4,-10.4,2.9
KLH057a_0154,545.8,1185.5,2037.3,31,-102.7,6,-38.6,-2.7,-10.5,-11.5,-11.9,-2.2,-30.1,-23.9,10.7,-11.6,-12.5,6.7
KLH057a_0155,418,914.5,2127.4,-2.9,25.2,-35.6,-7.9,168.7,5.1,-3.5,24.6,-18.3,-11.9,-11.1,-6.3,2.8,50.5,1
KLH057a_0156,267.8,1903.2,2463.2,16.1,-48.2,-92.9,-3.9,-10.5,-3.4,0.4,-3.3,-29.8,-0.4,11.7,30.2,0,-3.1,-4.9
KLH057a_0157,371.9,1710.4,2283.2,-52.8,88.6,126.9,-3.7,-15.7,-29.2,0.5,19.9,18,-1.8,-6.4,20,-3,1.4,6.9
KLH057a_0158,315.9,988.8,2041.9,76,123.9,95,14.3,52.5,2.6,-8.2,-19.3,-20.4,4,-15,26.9,-9.3,-13.7,10.2
