"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_length"
"1","SB","KLH033e_0363","haku","haku183.470189254047","a","-2",2,"primary","Primary Stressed",1,"short",241.9046143,236.720703858122,68.5,68.5336527416496,4.22732490552922,-0.000449363237986056,0.430518037681114,"-2.short"
"2","SB","KLH033e_0364","haku","haku183.470189254047","u","-1",2,"unstressed","Final Unstressed",1,"short",204.8881005,204.04314718792,69.3,117.052866130649,4.76262568001602,-1.45740916553692,0.0573587396243598,"-1.short"
"3","HM","KLH021b_0003","haku","haku19.2521482686873","a","-2",2,"primary","Primary Stressed",1,"short",118.822092538462,120.887835877791,69.8,83.0258221822966,4.4191516700418,-0.557544425926022,0.169961770159321,"-2.short"
"4","HM","KLH021b_0004","haku","haku19.2521482686873","u","-1",2,"unstressed","Final Unstressed",1,"short",98.6470588571429,100.380408184557,67.9,92.8839301558249,4.53135065083361,-1.29191272294327,-0.170280673962547,"-1.short"
"5","DK","KLH063c_0675","haku","haku310.742999700263","a","-2",2,"primary","Primary Stressed",1,"short",135.77792675,136.929470302156,82.5,77.1830859583815,4.34618033922283,-0.315756472115926,0.174868870695463,"-2.short"
"6","DK","KLH063c_0676","haku","haku310.742999700263","u","-1",2,"unstressed","Final Unstressed",1,"short",125.663292142857,125.03942916248,72.35,63.6413396443345,4.15326325359898,-1.04756810635067,-0.343849223153776,"-1.short"
"7","DK","KLH063c_0801","haku","haku366.516521679316","a","-2",2,"primary","Primary Stressed",1,"short",130.580787571429,130.270297187256,79.7,52.5259990820928,3.96130826762761,-0.457011622458253,0.0118959661242579,"-2.short"
"8","DK","KLH063c_0802","haku","haku366.516521679316","u","-1",2,"unstressed","Final Unstressed",1,"short",126.483739333333,126.310002862744,68.6,41.0338305580353,3.71439686202894,-1.19682880088374,0.071148845613112,"-1.short"
"9","HM","KLH021c_0184","haku","haku398.20916975637","a","-2",2,"primary","Primary Stressed",1,"short",112.419776307692,120.121826282833,76.9,84.8764042927996,4.44119613116525,-0.257173840655923,0.282177207146602,"-2.short"
"10","HM","KLH021c_0185","haku","haku398.20916975637","u","-1",2,"unstressed","Final Unstressed",1,"short",126.8242164,119.912935693985,73.95,82.6178548780376,4.41422581791862,-1.13009264037655,-0.0176172597003825,"-1.short"
"11","HM","KLH021c_0372","haku","haku455.9538","a","-2",2,"primary","Primary Stressed",1,"short",132.520705692308,137.958641207519,75.2,86.7253441508069,4.46274616114782,-0.374956876312305,0.123236098996711,"-2.short"
"12","HM","KLH021c_0373","haku","haku455.9538","u","-1",2,"unstressed","Final Unstressed",1,"short",140.065957,135.87413004577,71.7,77.79292862989,4.35405053540679,-1.34555495875828,-0.26572090123438,"-1.short"
"13","HM","KLH021a_0751","haku","haku482.361630272303","a","-2",2,"primary","Primary Stressed",1,"short",118.395889333333,120.04323581587,70.7,66.4636573412167,4.19665529212578,-0.603266675264118,0.167607056751534,"-2.short"
"14","HM","KLH021a_0752","haku","haku482.361630272303","u","-1",2,"unstressed","Final Unstressed",1,"short",64.568085,109.073664991078,68.25,51.2091468842755,3.93591816617294,-1.25822188319744,-0.0477408725802198,"-1.short"
"15","DK","KLH063c_1328","haku","haku698.2278","a","-2",2,"primary","Primary Stressed",1,"short",155.141163272727,163.485194783917,73.9,76.3385784655384,4.3351784260478,-0.585178038354828,0.0251304834269401,"-2.short"
"16","DK","KLH063c_1329","haku","haku698.2278","u","-1",2,"unstressed","Final Unstressed",1,"short",152.78668225,151.779679929612,70.5,41.8044596358413,3.73300302369242,-1.3180970995762,0.187383048981207,"-1.short"
"17","JM","KLH016b_0390","hala","hala197.1576","a","-2",2,"primary","Primary Stressed",1,"short",134.2974985,136.157089335837,76.9,127.864031116104,4.85096744241945,-0.467475080717751,0.0651754998743215,"-2.short"
