"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_comp"
"25","SB","KLH033b_0625","haʻalele","haʻalele372.908172416225","a","-4",4,"secondary","Secondary Stressed",1,"short",NA,102.705563613449,59.5,39.4770079014961,3.67571842399051,-0.562787310926263,0.252930398256392,"-4_4"
"26","SB","KLH033b_0626","haʻalele","haʻalele372.908172416225","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",106.2953035,112.238613807981,64.65,43.4903894952186,3.77253998254136,-0.611412165346175,0.303836658584685,"-3_4"
"27","SB","KLH033b_0627","haʻalele","haʻalele372.908172416225","e","-2",4,"primary","Primary Stressed",1,"short",138.370989214286,138.937260488395,65.7,80.4161272067176,4.38721474321824,-1.05340563506822,0.572303323428339,"-2_4"
"28","SB","KLH033b_0628","haʻalele","haʻalele372.908172416225","e","-1",4,"unstressed","Final Unstressed",1,"short",121.7556168,121.98329048445,66.1,46.0565092184311,3.82986910381819,-0.96022520705188,0.442462338837242,"-1_4"
"29","IN","KLH013b_0415","haʻalele","haʻalele407.913468704452","a","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,63.35,35.503344544054,3.56962690455221,-0.508719373405948,0.198377789562035,"-4_4"
"30","IN","KLH013b_0416","haʻalele","haʻalele407.913468704452","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",NA,NA,64.85,42.5214475353073,3.75000859652803,-0.627163057376642,0.18694204807618,"-3_4"
"31","IN","KLH013b_0417","haʻalele","haʻalele407.913468704452","e","-2",4,"primary","Primary Stressed",1,"short",NA,NA,68.5,58.2089718687371,4.06403949867683,-1.11454443461026,0.51004356974273,"-2_4"
"32","IN","KLH013b_0418","haʻalele","haʻalele407.913468704452","e","-1",4,"unstressed","Final Unstressed",1,"short",150.6839266,151.373444369922,69.5,44.582086541709,3.79733213129736,-0.993854309934059,0.557892879375837,"-1_4"
"33","DK","KLH063a_0906","haʻalele","haʻalele421.931987624093","a","-4",4,"secondary","Secondary Stressed",1,"short",127.238473454545,127.856462172278,74,84.7214288104965,4.43936856624178,-0.326394234535477,0.184863884011277,"-4_4"
"34","DK","KLH063a_0907","haʻalele","haʻalele421.931987624093","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",143.645919888889,147.710752074222,75.2,64.0117462123726,4.15906660108759,-0.455711632538251,0.0973675759182315,"-3_4"
"35","DK","KLH063a_0908","haʻalele","haʻalele421.931987624093","e","-2",4,"primary","Primary Stressed",1,"short",160.369707285714,159.64428077176,75,49.9999999999545,3.91202300542724,-0.934133501930466,0.423340420653933,"-2_4"
"36","DK","KLH063a_0909","haʻalele","haʻalele421.931987624093","e","-1",4,"unstressed","Final Unstressed",1,"short",152.511486,155.702396075097,69.75,50.8328572863093,3.92854294247602,-0.86982945223328,0.35064212575177,"-1_4"
"37","DK","KLH063a_0960","haʻalele","haʻalele436.688347007132","a","-4",4,"secondary","Secondary Stressed",1,"short",115.242711,118.211954978074,69,51.7742064952813,3.94689208114356,-0.33994392163189,0.196114853672772,"-4_4"
"38","DK","KLH063a_0961","haʻalele","haʻalele436.688347007132","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",129.3160322,NA,67.2,44.2252277733814,3.78929539036343,-0.562022267032398,0.235656188121617,"-3_4"
"39","DK","KLH063a_0962","haʻalele","haʻalele436.688347007132","e","-2",4,"primary","Primary Stressed",1,"short",125.758915111111,123.02794485497,68,62.1290477943717,4.12921363793807,-1.07462386487929,0.492223518709351,"-2_4"
"40","DK","KLH063a_0963","haʻalele","haʻalele436.688347007132","e","-1",4,"unstressed","Final Unstressed",1,"short",NA,NA,61.1,30.1231746881854,3.40529479871154,-0.894441890094424,0.345408034128172,"-1_4"
"41","DK","KLH063a_1565","haʻalele","haʻalele689.597","a","-4",4,"secondary","Secondary Stressed",1,"short",115.1436,NA,72.85,58.7898305902854,4.07396889080235,-0.286351202303791,0.17748591202628,"-4_4"
"42","DK","KLH063a_1566","haʻalele","haʻalele689.597","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",123.457883882353,122.628414793955,75.1,107.555305107212,4.678005181389,-0.321479630696838,0.0638551628072275,"-3_4"
"43","DK","KLH063a_1567","haʻalele","haʻalele689.597","e","-2",4,"primary","Primary Stressed",1,"short",120.938654333333,121.061750892745,69.1,45.6099291177452,3.8201254366278,-1.12996157291683,0.462696514149758,"-2_4"
"44","DK","KLH063a_1568","haʻalele","haʻalele689.597","e","-1",4,"unstressed","Final Unstressed",1,"short",124.4394776,123.850919382497,70.9,40.0000000000773,3.68887945411587,-1.33113934509265,0.479798348858324,"-1_4"
"45","HM","KLH021b_0161","haʻalele","haʻalele93.0855139311738","a","-4",4,"secondary","Secondary Stressed",1,"short",112.1580285,110.219895211344,63.9,60.6377960455973,4.10491839577912,-0.483795656346457,0.0907573137693625,"-4_4"
"46","HM","KLH021b_0162","haʻalele","haʻalele93.0855139311738","a","-3",4,"unstressed","Antepen. Unstressed",1,"short",NA,NA,59.5,39.4549041380117,3.67515835231631,-0.481870015105589,0.181500433437507,"-3_4"
"47","HM","KLH021b_0163","haʻalele","haʻalele93.0855139311738","e","-2",4,"primary","Primary Stressed",1,"short",112.157750555556,112.264726097681,65.7,64.7588113108242,4.17066977334178,-0.919706979382918,0.466702014625274,"-2_4"
"48","HM","KLH021b_0164","haʻalele","haʻalele93.0855139311738","e","-1",4,"unstressed","Final Unstressed",1,"short",109.838276,107.656608089822,63.55,43.846567636507,3.78069644064637,-1.23942254032187,0.613703996372578,"-1_4"
"49","AA","KLH057b_1143","heleleʻi","heleleʻi1672.365483","e","-4",4,"secondary","Secondary Stressed",1,"short",153.658539,138.341023643539,79.7,32.335097,3.47615323473943,-0.875659357268898,0.421039342561591,"-4_4"
"50","AA","KLH057b_1144","heleleʻi","heleleʻi1672.365483","e","-3",4,"unstressed","Antepen. Unstressed",1,"short",135.047649888889,134.771080046753,80.25,60,4.0943445622221,-0.952442094264613,0.47741688660131,"-3_4"
"51","AA","KLH057b_1145","heleleʻi","heleleʻi1672.365483","e","-2",4,"primary","Primary Stressed",1,"short",NA,NA,76.1,36.293687,3.59164381430066,-0.919791218793059,0.62216777398806,"-2_4"
"52","AA","KLH057b_1146","heleleʻi","heleleʻi1672.365483","i","-1",4,"unstressed","Final Unstressed",1,"short",124.07329275,121.898578089639,76.1,57.533891,4.05237418286588,-1.14459136465123,0.70998769448532,"-1_4"
"53","HM","KLH021a_0776","heluhelu","heluhelu494.474660294304","e","-4",4,"secondary","Secondary Stressed",1,"short",122.95846225,126.521528531767,75.5,72.6085338039297,4.28508246043149,-1.09042581195492,0.45090271132908,"-4_4"
"54","HM","KLH021a_0777","heluhelu","heluhelu494.474660294304","u","-3",4,"unstressed","Antepen. Unstressed",1,"short",124.037483142857,123.710876309001,73.75,59.3435132051354,4.08334281778045,-1.3124141971705,0.170578483099003,"-3_4"
"55","HM","KLH021a_0778","heluhelu","heluhelu494.474660294304","e","-2",4,"primary","Primary Stressed",1,"short",30.2387697142857,129.385569930923,74.4,72.2440506484077,4.28004997963542,-0.834062656604821,0.365808302468919,"-2_4"
"56","HM","KLH021a_0779","heluhelu","heluhelu494.474660294304","u","-1",4,"unstressed","Final Unstressed",1,"short",125.510603058824,123.986705977953,75.15,103.518774770635,4.63975299500476,-1.26370488354888,-0.422687097101097,"-1_4"
"57","SB","KLH033e_0219","honolulu","honolulu120.367201037552","o","-4",4,"secondary","Secondary Stressed",1,"short",233.4941605625,232.423916435323,72.9,96.289407244214,4.56735831528989,-0.92944112409564,0.0857765911539312,"-4_4"
"58","SB","KLH033e_0220","honolulu","honolulu120.367201037552","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",226.325500428571,225.732910146931,70.2,82.915174817316,4.41781809505576,-1.15741692632529,0.22098117267238,"-3_4"
"59","SB","KLH033e_0221","honolulu","honolulu120.367201037552","u","-2",4,"primary","Primary Stressed",1,"short",216.3904893,216.427063209757,69.95,61.9982022789145,4.12710538912333,-1.16884275217728,0.123100686040239,"-2_4"
"60","SB","KLH033e_0222","honolulu","honolulu120.367201037552","u","-1",4,"unstressed","Final Unstressed",1,"short",206.2863196875,205.777408389217,68.6,95.1205295238111,4.55514481927001,-1.20471008422712,0.0805048692501833,"-1_4"
"61","LV","KLH032a_2977","honolulu","honolulu1221.51025342447","o","-4",4,"secondary","Secondary Stressed",1,"short",148.787401125,145.551579502087,66.4,60.0000000001728,4.09434456222498,-1.4695949040554,-0.510803871502493,"-4_4"
"62","LV","KLH032a_2978","honolulu","honolulu1221.51025342447","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",130.205491545455,71.7176847019911,61.95,67.685213819459,4.21486774867035,-1.33495202971147,-0.746647095816148,"-3_4"
"63","LV","KLH032a_2979","honolulu","honolulu1221.51025342447","u","-2",4,"primary","Primary Stressed",1,"short",156.414003714286,155.628389440311,66.4,60.1646345062363,4.0970847130148,-1.33650845025913,0.172058679495044,"-2_4"
"64","LV","KLH032a_2980","honolulu","honolulu1221.51025342447","u","-1",4,"unstressed","Final Unstressed",1,"short",31.9335325,142.047595330499,64.3,77.7126529039833,4.35301808715322,-1.33962857759537,-0.0440456119170758,"-1_4"
"65","SB","KLH033b_0512","honolulu","honolulu311.3798","o","-4",4,"secondary","Secondary Stressed",1,"short",187.9778411,184.257234315192,68.45,74.2548147586035,4.30750262081416,-1.31839485386704,-0.205898847041545,"-4_4"
"66","SB","KLH033b_0513","honolulu","honolulu311.3798","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",181.834695692308,181.763126004165,71.7,88.51534987798,4.48317598192297,-1.2360872926943,0.207425508076653,"-3_4"
"67","SB","KLH033b_0514","honolulu","honolulu311.3798","u","-2",4,"primary","Primary Stressed",1,"short",182.820216111111,182.671989355536,70.9,60.2026675853722,4.0977166633824,-1.31356710694368,0.152028746897177,"-2_4"
"68","SB","KLH033b_0515","honolulu","honolulu311.3798","u","-1",4,"unstressed","Final Unstressed",1,"short",181.086822636364,180.030547686821,70.1,73.7317464095213,4.30043345827361,-1.28891721022867,0.0781851871661576,"-1_4"
"69","RM","KLH014b_0070","honolulu","honolulu39.2984175364572","o","-4",4,"secondary","Secondary Stressed",1,"short",199.2827133,198.431306148496,73.7,82.0831558653339,4.40773282933506,-0.894595335232125,-0.308251325064467,"-4_4"
"70","RM","KLH014b_0071","honolulu","honolulu39.2984175364572","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",208.3238631,208.027984927154,76.4,66.9874030625124,4.20450458772177,-1.08651591506119,-0.00512923239584229,"-3_4"
"71","RM","KLH014b_0072","honolulu","honolulu39.2984175364572","u","-2",4,"primary","Primary Stressed",1,"short",206.93332295,205.666568849303,70.65,111.331176920793,4.7125093351461,-1.27566088478532,-0.0312533302951516,"-2_4"
"72","RM","KLH014b_0073","honolulu","honolulu39.2984175364572","u","-1",4,"unstressed","Final Unstressed",1,"short",202.321833684211,201.184579139165,71,110.387692370622,4.70399864547823,-1.14575874862405,-0.0405379187166082,"-1_4"
"73","LV","KLH032a_2356","hoʻihoʻi","hoʻihoʻi1032.00216643921","o","-4",4,"secondary","Secondary Stressed",1,"short",129.705887,132.461727424061,65.8,38.6231391014462,3.65385155545395,-0.953091479372726,0.046665783524519,"-4_4"
"74","LV","KLH032a_2357","hoʻihoʻi","hoʻihoʻi1032.00216643921","i","-3",4,"unstressed","Antepen. Unstressed",1,"short",137.4537873,138.536301099001,62.25,63.940296133751,4.1579497750528,-1.22184554193899,0.668585454796097,"-3_4"
"75","LV","KLH032a_2358","hoʻihoʻi","hoʻihoʻi1032.00216643921","o","-2",4,"primary","Primary Stressed",1,"short",153.129855090909,155.144413131469,68.7,73.0218723635971,4.29075901769,-0.985456763874757,0.280069023776344,"-2_4"
"76","LV","KLH032a_2359","hoʻihoʻi","hoʻihoʻi1032.00216643921","i","-1",4,"unstressed","Final Unstressed",1,"short",57.124352,61.0161386503993,63,42.3449614320361,3.74584943956989,-1.31189182262377,0.756854429939316,"-1_4"
"77","DK","KLH063c_0282","hoʻihoʻi","hoʻihoʻi152.7828","o","-4",4,"secondary","Secondary Stressed",1,"short",148.111141,155.035451457756,77.8,32.8857243920595,3.49303865454961,-0.776552826764719,0.0570403397546588,"-4_4"
"78","DK","KLH063c_0283","hoʻihoʻi","hoʻihoʻi152.7828","i","-3",4,"unstressed","Antepen. Unstressed",1,"short",156.4768493,155.319797767896,79.25,63.2507227349208,4.14710655418141,-1.27281470786166,0.504339132564791,"-3_4"
"79","DK","KLH063c_0284","hoʻihoʻi","hoʻihoʻi152.7828","o","-2",4,"primary","Primary Stressed",1,"short",129.248011888889,131.550349269595,75.3,65.9286789578459,4.18857353588284,-1.19467903294725,-0.0994128277070327,"-2_4"
"80","DK","KLH063c_0285","hoʻihoʻi","hoʻihoʻi152.7828","i","-1",4,"unstressed","Final Unstressed",1,"short",134.68257525,128.454678573093,65.6,76.437089127495,4.33646803815896,-1.43624463314076,0.565126977200754,"-1_4"
"81","AA","KLH057b_1865","hoʻihoʻi","hoʻihoʻi2033.210318","o","-4",4,"secondary","Secondary Stressed",1,"short",116.4403095,113.586250808943,74.85,80,4.38202663467388,-0.981228456126104,-0.236253573804102,"-4_4"
"82","AA","KLH057b_1866","hoʻihoʻi","hoʻihoʻi2033.210318","i","-3",4,"unstressed","Antepen. Unstressed",1,"short",NA,NA,73.5,40.306848,3.69652138007524,-1.09327504320304,0.452893291319699,"-3_4"
"83","AA","KLH057b_1867","hoʻihoʻi","hoʻihoʻi2033.210318","o","-2",4,"primary","Primary Stressed",1,"short",107.529573571429,106.790416618969,75.7,58.280128,4.06526117761835,-0.9406046559517,0.147351828572046,"-2_4"
"84","AA","KLH057b_1868","hoʻihoʻi","hoʻihoʻi2033.210318","i","-1",4,"unstressed","Final Unstressed",1,"short",101.089264,95.8405762829087,74.9,39.630678,3.67960351530732,-1.08731355699062,0.382318921255649,"-1_4"
"85","AA","KLH057a_0679","hoʻihoʻi","hoʻihoʻi285.862","o","-4",4,"secondary","Secondary Stressed",1,"short",107.32124325,104.939732187024,71.85,60,4.0943445622221,-1.15136896299246,-0.202298379926024,"-4_4"
"86","AA","KLH057a_0680","hoʻihoʻi","hoʻihoʻi285.862","i","-3",4,"unstressed","Antepen. Unstressed",1,"short",NA,NA,69.65,46.812367,3.84614742015191,-1.08485210638855,0.425041076648673,"-3_4"
"87","AA","KLH057a_0681","hoʻihoʻi","hoʻihoʻi285.862","o","-2",4,"primary","Primary Stressed",1,"short",98.8339314,100.3432376832,71.5,40.274119,3.69570905421174,-1.10604398458108,0.151350571141214,"-2_4"
